Isolate,panC_Group,Average_Cell_Viability,Average_Cell_Viability_F
PS00077,Group_clarus,0.675615137,0.324384863
PS00135,Group_I,-0.04097213,1.04097213
PS00125,Group_I,-0.033120307,1.033120307
PS00134,Group_I,-0.02481909,1.02481909
PS00136,Group_I,0.020163167,0.979836833
PS00126,Group_I,0.021103572,0.978896428
PS00123,Group_I,0.034001172,0.965998828
PS00118,Group_II,-0.272846331,1.272846331
PS00130,Group_II,-0.080663094,1.080663094
PS00164,Group_II,-0.076326837,1.076326837
PS00193,Group_II,0.052690384,0.947309616
PS00457,Group_II,0.200164695,0.799835305
PS00047,Group_II,0.223388682,0.776611318
PS00452,Group_II,0.261982157,0.738017843
PS00012,Group_II,0.286239026,0.713760974
PS00588,Group_II,0.30044899,0.69955101
PS00154,Group_II,0.303697182,0.696302818
PS00138,Group_II,0.350321231,0.649678769
PS00420,Group_II,0.398086775,0.601913225
PS00150,Group_II,0.405943047,0.594056953
PS00426,Group_II,0.41150037,0.58849963
PS00423,Group_II,0.421905616,0.578094384
PS00517,Group_II,0.425076147,0.574923853
PS00546,Group_II,0.436095493,0.563904507
PS00905,Group_II,0.440411854,0.559588146
PS00430,Group_II,0.470679578,0.529320422
PS00564,Group_II,0.530240423,0.469759577
PS00506,Group_II,0.547203188,0.452796812
PS00906,Group_II,0.567697739,0.432302261
PS00104,Group_II,0.574491014,0.425508986
PS00156,Group_II,0.579758933,0.420241067
PS00161,Group_II,0.585000128,0.414999872
PS00554,Group_II,0.605405584,0.394594416
PS00550,Group_II,0.614649643,0.385350357
PS00515,Group_II,0.635044111,0.364955889
PS00417,Group_II,0.648040729,0.351959271
PS00909,Group_II,0.648484563,0.351515437
PS00082,Group_II,0.666998141,0.333001859
PS00904,Group_II,0.682967146,0.317032854
PS00505,Group_II,0.71261191,0.28738809
PS00455,Group_II,0.713637225,0.286362775
PS00471,Group_II,0.722663158,0.277336842
PS00052,Group_II,0.725922535,0.274077465
PS00162,Group_II,0.731972492,0.268027508
PS00108,Group_II,0.75986353,0.24013647
PS00416,Group_II,0.765559063,0.234440937
PS00518,Group_II,0.765657894,0.234342106
PS00083,Group_II,0.775399758,0.224600242
PS00166,Group_II,0.791758308,0.208241692
PS00908,Group_II,0.798470745,0.201529255
PS00174,Group_II,0.800061016,0.199938984
PS00514,Group_II,0.813607052,0.186392948
PS00483,Group_II,0.822287859,0.177712141
PS00113,Group_II,0.827828546,0.172171454
PS00133,Group_II,0.876979946,0.123020054
PS00096,Group_II,0.884703425,0.115296575
PS00050,Group_II,0.911488307,0.088511693
PS00907,Group_II,0.923972232,0.076027768
PS00009,Group_II,0.958737523,0.041262477
PS00414,Group_II,0.999749886,0.000250114
PS00468,Group_II,1.031470576,-0.031470576
PS00048,Group_II,1.055065612,-0.055065612
PS00088,Group_II,1.060252665,-0.060252665
PS00796,Group_II,1.203469783,-0.203469783
PS00157,Group_III,-0.040303637,1.040303637
PS00051,Group_III,0.000332896,0.999667104
PS00445,Group_III,0.064228238,0.935771762
PS00474,Group_III,0.174577487,0.825422513
PS00442,Group_III,0.202811448,0.797188552
PS00046,Group_III,0.242239799,0.757760201
PS00127,Group_III,0.270777432,0.729222568
PS00513,Group_III,0.284789506,0.715210494
PS00529,Group_III,0.296143276,0.703856724
PS00438,Group_III,0.307925891,0.692074109
PS00060,Group_III,0.30971524,0.69028476
PS00528,Group_III,0.316708085,0.683291915
PS00435,Group_III,0.324376662,0.675623338
PS00169,Group_III,0.350204889,0.649795111
PS00398,Group_III,0.35079938,0.64920062
PS00443,Group_III,0.428581649,0.571418351
PS00453,Group_III,0.43496932,0.56503068
PS00500,Group_III,0.442485847,0.557514153
PS00530,Group_III,0.456747887,0.543252113
PS00467,Group_III,0.460865966,0.539134034
PS00487,Group_III,0.475022277,0.524977723
PS00576,Group_III,0.480324882,0.519675118
PS00441,Group_III,0.487278949,0.512721051
PS00532,Group_III,0.521774948,0.478225052
PS00116,Group_III,0.538694298,0.461305702
PS00400,Group_III,0.552789448,0.447210552
PS00037,Group_III,0.554114531,0.445885469
PS00035,Group_III,0.559501376,0.440498624
PS00129,Group_III,0.568659233,0.431340767
PS00036,Group_III,0.569871904,0.430128096
PS00587,Group_III,0.604314158,0.395685842
PS00525,Group_III,0.615508072,0.384491928
PS00436,Group_III,0.620827954,0.379172046
PS00534,Group_III,0.624136293,0.375863707
PS00494,Group_III,0.625922183,0.374077817
PS00520,Group_III,0.62974259,0.37025741
PS00440,Group_III,0.646980019,0.353019981
PS00117,Group_III,0.663712438,0.336287562
PS00401,Group_III,0.669671223,0.330328777
PS00066,Group_III,0.685532959,0.314467041
PS00470,Group_III,0.692803787,0.307196213
PS00219,Group_III,0.69345398,0.30654602
PS00463,Group_III,0.704482675,0.295517325
PS00538,Group_III,0.709390441,0.290609559
PS00524,Group_III,0.725103155,0.274896845
PS00573,Group_III,0.735073493,0.264926507
PS00527,Group_III,0.749576687,0.250423313
PS00469,Group_III,0.791071088,0.208928912
PS00446,Group_III,0.807152462,0.192847538
PS00485,Group_III,0.845166097,0.154833903
PS00543,Group_III,0.854425892,0.145574108
PS00397,Group_III,0.870872362,0.129127638
PS00589,Group_III,0.924100518,0.075899483
PS00439,Group_III,0.934452173,0.065547827
PS00041,Group_III,0.946702648,0.053297352
PS00503,Group_III,0.955793828,0.044206172
PS00584,Group_III,1.006154703,-0.006154703
PS00412,Group_IV ,-0.320120988,1.320120988
PS00405,Group_IV ,-0.273419782,1.273419782
PS00410,Group_IV ,-0.232354223,1.232354223
PS00459,Group_IV ,-0.22297016,1.22297016
PS00163,Group_IV ,-0.205992178,1.205992178
PS00407,Group_IV ,-0.193688039,1.193688039
PS00431,Group_IV ,-0.144059711,1.144059711
PS00411,Group_IV ,-0.135348529,1.135348529
PS00189,Group_IV ,-0.133118419,1.133118419
PS00408,Group_IV ,-0.125671111,1.125671111
PS00040,Group_IV ,-0.1213878,1.1213878
PS00413,Group_IV ,-0.10996289,1.10996289
PS00429,Group_IV ,-0.108711837,1.108711837
PS00039,Group_IV ,-0.102429602,1.102429602
PS00444,Group_IV ,-0.08135718,1.08135718
PS00107,Group_IV ,-0.078479895,1.078479895
PS00597,Group_IV ,-0.075054198,1.075054198
PS00396,Group_IV ,-0.06375353,1.06375353
PS00590,Group_IV ,-0.061250288,1.061250288
PS00437,Group_IV ,-0.038107921,1.038107921
PS00493,Group_IV ,-0.031100526,1.031100526
PS00428,Group_IV ,-0.028045805,1.028045805
PS00507,Group_IV ,-0.026418114,1.026418114
PS00496,Group_IV ,-0.025270296,1.025270296
PS00497,Group_IV ,-0.021947006,1.021947006
PS00495,Group_IV ,-0.00880823,1.00880823
PS00433,Group_IV ,-0.004747294,1.004747294
PS00023,Group_IV ,0,1
PS00409,Group_IV ,0.004222582,0.995777418
PS00421,Group_IV ,0.008657665,0.991342335
PS00578,Group_IV ,0.017978628,0.982021372
PS00143,Group_IV ,0.018136635,0.981863365
PS00649,Group_IV ,0.020592817,0.979407184
PS00406,Group_IV ,0.030664162,0.969335839
PS00422,Group_IV ,0.03490432,0.96509568
PS00395,Group_IV ,0.048706544,0.951293457
PS00510,Group_IV ,0.060881435,0.939118566
PS00208,Group_IV ,0.071355717,0.928644283
PS00910,Group_IV ,0.076112631,0.923887369
PS00402,Group_IV ,0.07934492,0.92065508
PS00511,Group_IV ,0.081999144,0.918000856
PS00625,Group_IV ,0.095523828,0.904476172
PS00424,Group_IV ,0.112847098,0.887152902
PS00114,Group_IV ,0.114569431,0.885430569
PS00404,Group_IV ,0.123168831,0.876831169
PS00797,Group_IV ,0.124410216,0.875589784
PS00415,Group_IV ,0.128917313,0.871082687
PS00555,Group_IV ,0.13012459,0.86987541
PS00508,Group_IV ,0.13285114,0.86714886
PS00462,Group_IV ,0.149192153,0.850807848
PS00607,Group_IV ,0.171041646,0.828958354
PS00509,Group_IV ,0.171488261,0.828511739
PS00569,Group_IV ,0.180792553,0.819207448
PS00648,Group_IV ,0.18833439,0.811665611
PS00579,Group_IV ,0.201051215,0.798948785
PS00425,Group_IV ,0.202491231,0.797508769
PS00185,Group_IV ,0.203700875,0.796299126
PS00090,Group_IV ,0.205578582,0.794421418
PS00042,Group_IV ,0.232116984,0.767883016
PS00196,Group_IV ,0.243331852,0.756668148
PS00131,Group_IV ,0.258198403,0.741801598
PS00403,Group_IV ,0.375533974,0.624466026
PS00197,Group_IV ,0.387890329,0.612109672
PS00121,Group_IV ,0.47366673,0.52633327
PS00144,Group_IV ,0.486488619,0.513511381
PS00526,Group_IV ,0.512375663,0.487624337
PS00191,Group_IV ,0.532595022,0.467404979
PS00122,Group_IV ,0.579537603,0.420462397
PS00427,Group_IV ,0.581532445,0.418467555
PS00621,Group_IV ,0.596968636,0.403031364
PS00547,Group_IV ,0.662170177,0.337829823
PS00141,Group_IV ,0.719976445,0.280023556
PS00100,Group_IV ,0.72388429,0.276115711
PS00132,Group_IV ,0.742592276,0.257407724
PS00087,Group_IV ,0.74430766,0.255692341
PS00152,Group_IV ,0.750799274,0.249200726
PS00170,Group_IV ,0.784894219,0.215105781
PS00086,Group_IV ,0.901149693,0.098850308
PS00434,Group_IV ,0.924542408,0.075457592
PS00451,Group_IV ,0.969848179,0.030151821
PS00512,Group_IV ,0.969911399,0.030088601
PS00084,Group_IV ,0.975651057,0.024348943
PS00562,Group_V,-0.088710075,1.088710075
PS00807,Group_V,-0.031201731,1.031201731
PS00591,Group_V,-0.019134202,1.019134202
PS00572,Group_V,0.016748014,0.983251986
PS00542,Group_V,0.04004558,0.95995442
PS00558,Group_V,0.064523065,0.935476936
PS00570,Group_V,0.102840018,0.897159982
