Isolate,T,mumax (ln per h),mumax (log per day),sqrt_mumax (ln per h),sqrt_mumax (log per day)
193,10,0.057872547,0.603205562,0.240567135,0.776663095
193,10,0.057470674,0.59901684,0.23973042,0.773961782
193,22,0.421003552,4.388120059,0.648847865,2.094784013
193,22,0.828600533,8.636503427,0.910274977,2.938792852
194,10,0.06696687,0.697995692,0.258779578,0.835461365
194,10,0.107286006,1.11824205,0.327545426,1.057469645
194,22,1.080856097,11.26576319,1.039642293,3.356450982
194,22,0.893758349,9.315643349,0.945387936,3.052153887
402,10,0.11774285,1.227233736,0.34313678,1.10780582
402,10,0.050786708,0.529349862,0.225359065,0.727564335
402,22,0.482903993,5.033308361,0.694912939,2.243503591
402,22,0.458154036,4.775339557,0.676870767,2.185255032
407,10,0.036036884,0.375612445,0.189833833,0.612872291
407,10,0.063757897,0.664548566,0.252503261,0.815198483
407,22,0.487669715,5.082981482,0.698333527,2.254546846
407,22,0.482599188,5.030131378,0.694693593,2.242795438
413,10,0.821586599,8.563397193,0.906414143,2.926328278
413,10,0.125593297,1.309058946,0.354391446,1.144141139
413,22,0.344684144,3.592642863,0.58709807,1.895426829
413,22,0.388896528,4.053468545,0.623615689,2.013322762
433,10,0.052916139,0.551544921,0.230035082,0.742660704
433,10,0.062192472,0.648232141,0.249384186,0.805128649
433,22,0.310492849,3.236266992,0.557218852,1.798962755
433,22,0.327383405,3.412317259,0.572174279,1.847245858
457,10,0.086355387,0.900082206,0.293862871,0.948726624
457,10,0.068275619,0.711636783,0.261296037,0.84358567
457,22,0.483707134,5.0416795,0.695490571,2.245368455
457,22,0.400128141,4.170535648,0.632556829,2.042188936
474,10,0.063495341,0.661811945,0.251982819,0.813518251
474,10,0.062900891,0.655615992,0.2508005,0.809701175
474,22,0.617729601,6.438595685,0.78595776,2.537438804
474,22,0.395458896,4.121868107,0.628855226,2.030238436
495,10,0.033440552,0.348550876,0.182867581,0.590381975
495,10,0.088565131,0.923114368,0.297598943,0.96078841
495,22,0.640614115,6.677120976,0.80038373,2.584012573
495,22,0.579644343,6.041633037,0.761343774,2.45797336
518,10,0.086071115,0.897119239,0.293378791,0.947163787
518,10,0.068027817,0.709053942,0.260821427,0.842053408
518,22,0.442316267,4.610262489,0.665068618,2.147152181
518,22,1.412599474,14.72352444,1.188528281,3.837124502
536,10,0.102486999,1.068221999,0.320135907,1.033548257
536,10,0.056406011,0.587919858,0.237499497,0.766759322
536,22,1.778934852,18.54183812,1.333767166,4.306023469
536,22,0.3840857,4.003325284,0.619746481,2.000831148
564,10,0.106302708,1.107993135,0.326040961,1.052612528
564,10,0.140913231,1.468738619,0.375384111,1.211915269
564,22,1.014138942,10.57037028,1.007044658,3.251210587
564,22,0.776149768,8.089809099,0.880993626,2.844258972
570,10,0.105421245,1.098805646,0.32468638,1.048239308
570,10,0.096931733,1.010319461,0.311338614,1.005146488
570,22,0.541937449,5.648614078,0.73616401,2.376681316
570,22,0.380145709,3.962258758,0.616559574,1.990542328
638,10,0.032996105,0.343918405,0.181648301,0.586445569
638,10,0.093450973,0.9740395,0.305697518,0.986934395
638,22,0.508998425,5.305290628,0.713441255,2.303321651
638,22,0.708092594,7.380449169,0.841482379,2.716698211
649,10,0.078762457,0.820941096,0.280646499,0.906057998
649,10,0.045242247,0.471559944,0.212702249,0.686702224
649,22,0.386595846,4.029488536,0.621768322,2.007358597
649,22,0.429091351,4.472419189,0.655050648,2.114809492
