isolate,avg_h0,min_h0,max_h0,sd_h0,Q0,Q0_max,Q0_min
125,14.13612293,3.229105812,28.37811919,10.46665295,7.26E-07,0.041225107,4.74E-13
193,7.635195154,2.100320754,10.08492719,3.751539333,0.000483378,0.139493561,4.17E-05
194,14.41180522,4.552472989,23.81760694,8.186174512,5.51E-07,0.010653403,4.53E-11
402,20.07576911,3.609702287,61.78276466,27.88361835,1.91E-09,0.027812505,1.47E-27
407,5.943984763,1.511949659,12.10041509,4.478016566,0.002628453,0.282840226,5.56E-06
413,4.389018162,1.942037648,7.103929241,2.287833441,0.012568928,0.167421601,0.000822545
433,5.963492012,4.310229282,7.616754741,2.338066575,0.002577545,0.013613303,0.000492379
457,7.153754482,2.686420318,14.45943233,5.169639723,0.000782535,0.07310457,5.25E-07
474,6.4424025,1.288365564,12.2065523,4.571730741,0.001595116,0.380683532,5.00E-06
495,6.110611646,2.423815139,9.811519315,3.394147764,0.002224129,0.097192632,5.48E-05
518,10.63393381,4.634498307,26.79116489,10.78354979,2.41E-05,0.009806206,2.32E-12
536,12.74604405,2.428409793,37.57168667,16.62134152,2.91E-06,0.096704004,4.82E-17
564,9.162508528,3.541027043,14.04405827,4.35480463,0.00010491,0.029848665,7.96E-07
570,4.814120996,1.938574987,6.502858018,2.136661053,0.008180733,0.168099951,0.001501399
638,5.795009673,0.330697139,9.928525169,4.843263964,0.003051987,2.551422879,4.88E-05
649,5.347943229,2.649090856,7.887715411,2.488709254,0.004780673,0.076096688,0.000375467
