,isolate,rep,temp,mumax_ln_h,lag_h,mumax_ln_day,lag_day,h0
1,125,rep1,22,0.698534387,16.69822742,16.76482529,0.695759476,11.66428606
18,125,rep2,22,2.024004393,14.02077944,48.57610543,0.584199144,28.37811919
35,125,rep1,16,0.947000664,14.01580924,22.72801594,0.583992052,13.27298066
37,125,rep2,16,0.354119475,9.118690275,8.498867397,0.379945428,3.229105812
3,193,rep1,22,0.421003985,4.988838176,10.10409565,0.207868257,2.100320754
20,193,rep2,22,0.82860073,10.3001357,19.88641752,0.429172321,8.534699955
39,193,rep1,10,0.057872657,174.2606573,1.388943759,7.260860723,10.08492719
54,193,rep2,10,0.05747046,170.8848825,1.379291028,7.120203437,9.820832719
4,194,rep1,22,1.080834519,22.03631223,25.94002847,0.918179676,23.81760694
21,194,rep2,22,0.893752579,19.46958837,21.45006191,0.811232849,17.40099482
40,194,rep1,10,0.066966707,67.98113812,1.607200979,2.832547422,4.552472989
55,194,rep2,10,0.107286034,110.6961055,2.574864816,4.612337731,11.87614614
5,402,rep1,22,0.482906567,12.76577535,11.58975762,0.531907306,6.164676752
22,402,rep2,22,0.458155439,7.878772084,10.99573055,0.32828217,3.609702287
41,402,rep1,10,0.34221123,180.5398515,8.213069522,7.522493812,61.78276466
56,402,rep2,10,0.050789459,172.1997634,1.218947005,7.17499014,8.745932742
6,407,rep1,22,0.487670779,11.95951575,11.70409869,0.498313156,5.832306361
23,407,rep2,22,0.482599817,8.97486446,11.58239561,0.373952686,4.331267945
42,407,rep1,10,0.0360369,41.95559687,0.864885606,1.74814987,1.511949659
57,407,rep2,10,0.063766407,189.7615948,1.530393768,7.906733118,12.10041509
7,413,rep1,22,0.474096222,11.24105666,11.37830934,0.468377361,5.329342499
24,413,rep2,22,0.388921564,4.993391545,9.334117531,0.208057981,1.942037648
43,413,rep1,10,0.1143,27.8282,2.7432,1.159508333,3.18076326
58,413,rep2,10,0.125593307,56.56296046,3.014239361,2.356790019,7.103929241
44,433,rep1,10,0.05291614,81.4539618,1.26998737,3.393915075,4.310229282
59,433,rep2,10,0.062192804,122.470033,1.492627293,5.102918042,7.616754741
9,457,rep1,22,0.483718454,9.401524571,11.60924289,0.39173019,4.547690927
26,457,rep2,22,0.400136451,6.713760554,9.603274812,0.279740023,2.686420318
45,457,rep1,10,0.086355314,167.4411419,2.072527528,6.976714246,14.45943233
60,457,rep2,10,0.068275638,101.3754628,1.638615301,4.223977619,6.921474356
10,474,rep1,22,0.617732414,8.045161801,14.82557794,0.335215075,4.969757221
27,474,rep2,22,0.395458081,3.257906779,9.490993949,0.135746116,1.288365564
46,474,rep1,10,0.063495431,115.0466239,1.523890334,4.793609327,7.304934918
61,474,rep2,10,0.062904304,194.0495558,1.509703302,8.085398159,12.2065523
11,495,rep1,22,0.640614456,15.31579443,15.37474694,0.638158101,9.811519315
28,495,rep2,22,0.57964468,7.240298956,13.91147232,0.301679123,4.19680077
47,495,rep1,10,0.033440375,72.48169706,0.802569003,3.020070711,2.423815139
62,495,rep2,10,0.088565142,90.44541851,2.125563415,3.768559105,8.010311359
12,518,rep1,22,0.442321993,10.47765741,10.61572783,0.436569059,4.634498307
29,518,rep2,22,1.412595625,18.96591241,33.90229499,0.790246351,26.79116489
48,518,rep1,10,0.086071161,68.35015247,2.06570786,2.84792302,5.882976966
63,518,rep2,10,0.068027787,76.83764685,1.632666894,3.201568619,5.227095094
13,536,rep1,22,1.778952663,21.12011604,42.6948639,0.880004835,37.57168667
30,536,rep2,22,0.384087449,6.32254399,9.218098778,0.263439333,2.428409793
49,536,rep1,10,0.087180782,70.24925319,2.092338773,2.927052216,6.124384843
64,536,rep2,10,0.056404747,86.1575508,1.353713936,3.58989795,4.859694885
14,564,rep1,22,1.014135964,13.84829921,24.33926314,0.577012467,14.04405827
31,564,rep2,22,0.776149175,13.27501954,18.62758021,0.553125814,10.30339547
50,564,rep1,10,0.106302397,33.31088608,2.551257533,1.387953587,3.541027043
65,564,rep2,10,0.140913188,62.17695755,3.381916517,2.590706565,8.761553323
15,570,rep1,22,0.54193692,11.99928954,13.00648609,0.499970397,6.502858018
32,570,rep2,22,0.380145741,5.099557295,9.123497787,0.212481554,1.938574987
51,570,rep1,10,0.105421246,42.11945662,2.530109906,1.754977359,4.440285602
66,570,rep2,10,0.096932777,65.76480685,2.326386656,2.740200285,6.374765379
16,638,rep1,22,0.508999307,6.096704763,12.21598337,0.254029365,3.1032185
33,638,rep2,22,0.708092629,13.86484972,16.99422309,0.577702072,9.817597884
52,638,rep1,10,0.032996302,10.02224839,0.791911259,0.417593683,0.330697139
67,638,rep2,10,0.093429871,106.2671397,2.242316908,4.427797485,9.928525169
17,649,rep1,22,0.386608297,6.852131417,9.278599123,0.285505476,2.649090856
34,649,rep2,22,0.624558135,11.17938074,14.98939523,0.465807531,6.982173185
53,649,rep1,10,0.078762436,100.1456513,1.890298454,4.172735472,7.887715411
68,649,rep2,10,0.045242446,85.60088524,1.085818713,3.566703552,3.872793462
