,isolate,Group,percent_over_5,percent_over_3,day
1,125,I,1,2,35
2,193,II,3,3,35
3,194,VII,3,3,35
4,402,IV,4,6,35
5,407,IV,3,3,35
6,413,IV,10,14,35
7,433,IV,3,4,35
8,457,II,3,6,35
9,474,III,3,4,35
10,495,IV,3,4,35
11,518,II,3,3,35
12,536,VII,3,3,35
13,564,II,5,8,35
14,570,V,6,11,35
15,638,V,10,11,35
16,649,IV,3,5,35
17,125,I,1,1,21
18,193,II,3,3,21
19,194,VII,3,3,21
20,402,IV,2,3,21
21,407,IV,3,3,21
22,413,IV,4,10,21
23,433,IV,2,3,21
24,457,II,3,3,21
25,474,III,3,3,21
26,495,IV,3,3,21
27,518,II,3,3,21
28,536,VII,3,3,21
29,564,II,3,4,21
30,570,V,3,6,21
31,638,V,3,8,21
32,649,IV,3,3,21
33,125,I,0,1,14
34,193,II,2,3,14
35,194,VII,2,3,14
36,402,IV,1,2,14
37,407,IV,1,3,14
38,413,IV,3,5,14
39,433,IV,1,3,14
40,457,II,2,3,14
41,474,III,2,3,14
42,495,IV,2,3,14
43,518,II,2,3,14
44,536,VII,2,3,14
45,564,II,3,3,14
46,570,V,3,3,14
47,638,V,3,4,14
48,649,IV,2,3,14
