"","isolate","Q0","Nmax","b","Tmin","Clade","Topt","mu_opt","percent_over_5_d35"
"1",125,0.0412251074583023,659184.598523894,0.303807648511495,9.22249705742761,"I",28,32.5441613115998,2
"2",193,0.139493561213644,3051843.63724857,0.167684836260396,6.78908846749202,"II",36.31,24.5045712879753,4
"3",194,0.0106534027115065,4767989.1727895,0.214671186208799,6.88819067424386,"VII",42.35,57.9521153140524,4
"4",402,0.0278125054222327,2329223.88231247,0.129340496468862,4.25524066911024,"IV",38.735,19.8882925121588,14
"5",407,0.282840226350935,2653526.53950811,0.149200698369159,6.71418346322743,"IV",38.735,22.8247756027779,3
"6",413,0.167421600952799,12624203.1418679,0.127599921286951,4.87984246378562,"IV",38.735,18.6616693809153,13
"7",433,0.0136133029361547,6518274.59878149,0.115296251152236,5.82511138627934,"IV",38.735,14.3973710590024,3
"8",457,0.073104569536231,1731515.741232,0.135980972913925,5.8813881284017,"II",36.31,17.1206626366579,5
"9",474,0.380683531762879,2566562.38833696,0.149022698094407,6.40939600291887,"III",39.27,23.9803726582079,5
"10",495,0.0971926318923771,5511551.9494641,0.16799470345441,6.7922763584353,"IV",38.735,28.7961924386586,3
"11",518,0.00980620558929682,5673428.87569486,0.200144901541889,6.86008343740316,"II",36.31,34.7421907349017,4
"12",536,0.0967040040099749,3687750.65872081,0.21334210483149,7.06256983043508,"VII",42.35,56.6752199829251,4
"13",564,0.0298486645287187,4954358.34418199,0.197437841799542,6.27624576290391,"II",36.31,35.1625235061949,10
"14",570,0.168099950631399,8022484.14237284,0.135195022847907,5.41805850534546,"V",37.375,18.6660240988107,10
"15",638,2.55142287874005,3513083.44587542,0.153815944546569,5.52250748964139,"V",37.375,24.004328307089,13
"16",649,0.0760966877389204,4163228.90042673,0.149130711864627,6.4583829827179,"IV",38.735,23.16915527054,4
