,isolate,Group,percent_over_5,day,sc
1,125,I,1,35,1
2,193,II,3,35,1
8,457,II,3,35,1
11,518,II,3,35,1
13,564,II,5,35,1
9,474,III,3,35,1
4,402,IV,4,35,1
5,407,IV,3,35,1
6,413,IV,10,35,1
7,433,IV,3,35,1
10,495,IV,3,35,1
16,649,IV,3,35,1
14,570,V,6,35,1
15,638,V,10,35,1
3,194,VII,3,35,1
12,536,VII,3,35,1
17,125,I,1,21,1
21,193,II,3,21,1
81,457,II,3,21,1
111,518,II,3,21,1
131,564,II,3,21,1
91,474,III,3,21,1
41,402,IV,2,21,1
51,407,IV,3,21,1
61,413,IV,4,21,1
71,433,IV,2,21,1
101,495,IV,3,21,1
161,649,IV,3,21,1
141,570,V,3,21,1
151,638,V,3,21,1
31,194,VII,3,21,1
121,536,VII,3,21,1
18,125,I,1,35,2
22,193,II,3,35,2
82,457,II,3,35,2
112,518,II,3,35,2
132,564,II,5,35,2
92,474,III,3,35,2
42,402,IV,4,35,2
52,407,IV,3,35,2
62,413,IV,11,35,2
72,433,IV,3,35,2
102,495,IV,3,35,2
162,649,IV,3,35,2
142,570,V,10,35,2
152,638,V,10,35,2
32,194,VII,3,35,2
122,536,VII,3,35,2
19,125,I,1,21,2
23,193,II,3,21,2
83,457,II,3,21,2
113,518,II,3,21,2
133,564,II,3,21,2
93,474,III,3,21,2
43,402,IV,2,21,2
53,407,IV,3,21,2
63,413,IV,5,21,2
73,433,IV,3,21,2
103,495,IV,3,21,2
163,649,IV,3,21,2
143,570,V,3,21,2
153,638,V,5,21,2
33,194,VII,3,21,2
123,536,VII,3,21,2
110,125,I,3,35,3
24,193,II,6,35,3
84,457,II,10,35,3
114,518,II,7,35,3
134,564,II,12,35,3
94,474,III,10,35,3
44,402,IV,9,35,3
54,407,IV,5,35,3
64,413,IV,17,35,3
74,433,IV,6,35,3
104,495,IV,7,35,3
164,649,IV,10,35,3
144,570,V,14,35,3
154,638,V,14,35,3
34,194,VII,6,35,3
124,536,VII,6,35,3
115,125,I,2,21,3
25,193,II,3,21,3
85,457,II,3,21,3
116,518,II,3,21,3
135,564,II,7,21,3
95,474,III,3,21,3
45,402,IV,3,21,3
55,407,IV,3,21,3
65,413,IV,11,21,3
75,433,IV,3,21,3
105,495,IV,3,21,3
165,649,IV,3,21,3
145,570,V,10,21,3
155,638,V,10,21,3
35,194,VII,3,21,3
125,536,VII,3,21,3
117,125,I,2,35,4
26,193,II,10,35,4
86,457,II,12,35,4
118,518,II,10,35,4
136,564,II,13,35,4
96,474,III,10,35,4
46,402,IV,11,35,4
56,407,IV,10,35,4
66,413,IV,17,35,4
76,433,IV,10,35,4
106,495,IV,10,35,4
166,649,IV,10,35,4
146,570,V,14,35,4
156,638,V,14,35,4
36,194,VII,10,35,4
126,536,VII,10,35,4
119,125,I,2,21,4
27,193,II,5,21,4
87,457,II,9,21,4
1110,518,II,9,21,4
137,564,II,10,21,4
97,474,III,7,21,4
47,402,IV,5,21,4
57,407,IV,5,21,4
67,413,IV,14,21,4
77,433,IV,4,21,4
107,495,IV,9,21,4
167,649,IV,9,21,4
147,570,V,10,21,4
157,638,V,12,21,4
37,194,VII,6,21,4
127,536,VII,5,21,4
