"","isolate_env_time","count","days"
"125_1","125_1",5.56025889608996,14
"125_2","125_2",5.81900338389918,21
"125_3","125_3",5.81900705176214,35
"125_4","125_4",5.81900705176214,60
"125_5","125_5",5.81900705176214,90
"193_1","193_1",2.01712721772046,14
"193_2","193_2",2.13754384491803,21
"193_3","193_3",3.50925736228396,35
"193_4","193_4",6.35206913549812,60
"193_5","193_5",6.48455061676665,90
"194_1","194_1",2.00019483210704,14
"194_2","194_2",2.00534453224259,21
"194_3","194_3",3.01426554111641,35
"194_4","194_4",6.66248756457029,60
"194_5","194_5",6.67833524950908,90
"402_1","402_1",2.000729403528,14
"402_2","402_2",2.23764922835369,21
"402_3","402_3",6.2987759268098,35
"402_4","402_4",6.36721123439709,60
"402_5","402_5",6.36721123442558,90
"407_1","407_1",2.04487079100904,14
"407_2","407_2",2.23654426369483,21
"407_3","407_3",3.5030247179832,35
"407_4","407_4",6.10946396829751,60
"407_5","407_5",6.42367393839668,90
"413_1","413_1",3.96777569866772,14
"413_2","413_2",5.87187057520493,21
"413_3","413_3",7.10026901725341,35
"413_4","413_4",7.10120397423895,60
"413_5","413_5",7.10120397435413,90
"433_1","433_1",2.07581575522109,14
"433_2","433_2",2.42702662775475,21
"433_3","433_3",4.10274291595248,35
"433_4","433_4",6.72378211598666,60
"433_5","433_5",6.81412305707379,90
"457_1","457_1",2.09945398574124,14
"457_2","457_2",2.75456826417509,21
"457_3","457_3",5.15165080720857,35
"457_4","457_4",6.23827094284577,60
"457_5","457_5",6.238426443454,90
"474_1","474_1",2.07663205460882,14
"474_2","474_2",2.49802431673003,21
"474_3","474_3",4.4162065419599,35
"474_4","474_4",6.40144232607112,60
"474_5","474_5",6.40935155592029,90
"495_1","495_1",2.0737033293816,14
"495_2","495_2",2.43397057866176,21
"495_3","495_3",4.16280006992335,35
"495_4","495_4",6.6849470702678,60
"495_5","495_5",6.7412694126157,90
"518_1","518_1",2.00391146034644,14
"518_2","518_2",2.06984392310381,21
"518_3","518_3",3.81608929556617,35
"518_4","518_4",6.74405238112138,60
"518_5","518_5",6.75384558364661,90
"536_1","536_1",2.00032171827323,14
"536_2","536_2",2.00504515831864,21
"536_3","536_3",2.58900125094146,35
"536_4","536_4",6.34006859046431,60
"536_5","536_5",6.56675931916332,90
"564_1","564_1",2.33969789712273,14
"564_2","564_2",4.1009760059407,21
"564_3","564_3",6.67992837213002,35
"564_4","564_4",6.69498741460389,60
"564_5","564_5",6.69498741550629,90
"570_1","570_1",3.21918538676637,14
"570_2","570_2",4.8309730242152,21
"570_3","570_3",6.87848773259006,35
"570_4","570_4",6.90430883082442,60
"570_5","570_5",6.90430886732107,90
"638_1","638_1",2.00562820634159,14
"638_2","638_2",2.01449520452213,21
"638_3","638_3",2.07642927353326,35
"638_4","638_4",2.6828957588377,60
"638_5","638_5",4.13323152462969,90
"649_1","649_1",2.17135872528527,14
"649_2","649_2",2.77407072378372,21
"649_3","649_3",4.70146100404321,35
"649_4","649_4",6.61041136949589,60
"649_5","649_5",6.61942984331593,90
