Isolate,Group,Rep,lag,mumax,Temp
PS00125,I,rep1,14.02,0.95,16
PS00125,I,rep2,9.12,0.35,16
PS00135,I,rep1,13.02,0.9,16
PS00135,I,rep2,12.56,0.9,16
PS00193,II,rep1,174.26,0.06,10
PS00193,II,rep2,170.88,0.06,10
PS00457,II,rep1,167.44,0.09,10
PS00457,II,rep2,101.38,0.07,10
PS00518,II,rep1,68.35,0.09,10
PS00518,II,rep2,76.84,0.07,10
PS00564,II,rep1,33.31,0.11,10
PS00564,II,rep2,62.18,0.14,10
PS00474,III,rep1,115.05,0.06,10
PS00474,III,rep2,194.05,0.06,10
PS00402,IV,rep1,180.54,0.34,10
PS00402,IV,rep2,172.2,0.05,10
PS00407,IV,rep1,41.96,0.04,10
PS00407,IV,rep2,189.76,0.06,10
PS00413,IV,rep1,27.83,0.11,10
PS00413,IV,rep2,56.56,0.13,10
PS00433,IV,rep1,81.45,0.05,10
PS00433,IV,rep2,122.47,0.06,10
PS00495,IV,rep1,72.48,0.03,10
PS00495,IV,rep2,90.45,0.09,10
PS00649,IV,rep1,100.15,0.08,10
PS00649,IV,rep2,85.6,0.05,10
PS00570,V,rep1,42.12,0.11,10
PS00570,V,rep2,65.76,0.1,10
PS00638,V,rep1,10.02,0.03,10
PS00638,V,rep2,106.27,0.09,10
PS00194,VII,rep1,67.98,0.07,10
PS00194,VII,rep2,110.7,0.11,10
PS00536,VII,rep1,70.25,0.09,10
PS00536,VII,rep2,86.16,0.06,10
PS00125,I,rep1,16.7,0.7,22
PS00125,I,rep2,14.02,2.02,22
PS00135,I,rep1,18.89,0.89,22
PS00135,I,rep2,13.7,0.95,22
PS00193,II,rep1,4.99,0.42,22
PS00193,II,rep2,10.3,0.83,22
PS00457,II,rep1,9.4,0.48,22
PS00457,II,rep2,6.71,0.4,22
PS00518,II,rep1,10.48,0.44,22
PS00518,II,rep2,18.97,1.41,22
PS00564,II,rep1,13.85,1.01,22
PS00564,II,rep2,13.28,0.78,22
PS00474,III,rep1,8.05,0.62,22
PS00474,III,rep2,3.26,0.4,22
PS00402,IV,rep1,12.77,0.48,22
PS00402,IV,rep2,7.88,0.46,22
PS00407,IV,rep1,11.96,0.49,22
PS00407,IV,rep2,8.97,0.48,22
PS00413,IV,rep1,11.24,0.47,22
PS00413,IV,rep2,4.99,0.39,22
PS00433,IV,rep1,0,0.31,22
PS00433,IV,rep2,0,0.33,22
PS00495,IV,rep1,15.32,0.64,22
PS00495,IV,rep2,7.24,0.58,22
PS00649,IV,rep1,6.85,0.39,22
PS00649,IV,rep2,11.18,0.62,22
PS00570,V,rep1,12,0.54,22
PS00570,V,rep2,5.1,0.38,22
PS00638,V,rep1,6.1,0.51,22
PS00638,V,rep2,13.86,0.71,22
PS00194,VII,rep1,22.04,1.08,22
PS00194,VII,rep2,19.47,0.89,22
PS00536,VII,rep1,21.12,1.78,22
PS00536,VII,rep2,6.32,0.38,22
