t,Rep,LOG10N,Isolate,
0,rep1,3.79239,125,
6,rep1,3.83885,125,
24,rep1,3.80618,125,
48,rep1,3.94694,125,
96,rep1,4.04139,125,
192,rep1,4.15076,125,
240,rep1,4.21085,125,
288,rep1,4.18611,125,
384,rep1,4.03543,125,
0,rep2,3.82607,125,
6,rep2,3.89209,125,
24,rep2,3.78888,125,
48,rep2,4,125,
96,rep2,4.12222,125,
192,rep2,4.16732,125,
240,rep2,4.25406,125,
288,rep2,4.20412,125,
384,rep2,3.98677,125,
0,rep1,3.55023,135,
6,rep1,3.57403,135,
24,rep1,3.51851,135,
48,rep1,3.70329,135,
96,rep1,3.95665,135,
192,rep1,4.12057,135,
240,rep1,4.17026,135,
288,rep1,4.12872,135,
384,rep1,3.99344,135,
0,rep2,3.56229,135,
6,rep2,3.5563,135,
24,rep2,3.49831,135,
48,rep2,3.6902,135,
96,rep2,4.02531,135,
192,rep2,4.15076,135,
240,rep2,4.25527,135,
288,rep2,4.19451,135,
384,rep2,4.0086,135,
0,rep1,3.49624,193,
6,rep1,3.63998,193,
24,rep1,4.5422,193,
48,rep1,4.48001,193,
96,rep1,5.66885,193,
192,rep1,6.11227,193,
240,rep1,6.17319,193,
288,rep1,6.22789,193,
384,rep1,6.31754,193,
504,rep1,5.96942,193,
0,rep2,3.04139,193,
6,rep2,3.07555,193,
24,rep2,3.34341,193,
48,rep2,3.67256,193,
96,rep2,3.85278,193,
192,rep2,4.29447,193,
240,rep2,4.77743,193,
288,rep2,5.10636,193,
384,rep2,5.50447,193,
504,rep2,5.22789,193,
0,rep1,2.99739,194,
6,rep1,3.05538,194,
24,rep1,3.26482,194,
48,rep1,3.33646,194,
96,rep1,3.95158,194,
192,rep1,6.45788,194,
240,rep1,6.62014,194,
288,rep1,6.65006,194,
384,rep1,7.11227,194,
504,rep1,6.41954,194,
0,rep2,2.99322,194,
6,rep2,3.02938,194,
24,rep2,3.02366,194,
48,rep2,3.02531,194,
96,rep2,3.10037,194,
192,rep2,6.43056,194,
240,rep2,6.7439,194,
288,rep2,6.78746,194,
384,rep2,6.86481,194,
504,rep2,6.28217,194,
0,rep1,3.04376,402,Haven't fit 402 yet 
6,rep1,3.14922,402,
24,rep1,3.031,402,
48,rep1,3.0607,402,
96,rep1,3.20276,402,
192,rep1,4.80106,402,
240,rep1,6.52763,402,
288,rep1,6.58602,402,
384,rep1,6.6464,402,
504,rep1,6.32222,402,
0,rep2,3.14145,402,
6,rep2,3.15381,402,
24,rep2,3.39182,402,
48,rep2,3.42488,402,
96,rep2,3.49415,402,
192,rep2,3.94866,402,
240,rep2,4.40824,402,
288,rep2,5.48359,402,
384,rep2,5.66039,402,
504,rep2,3.96497,402,
0,rep1,3.07004,407,
6,rep1,3.07918,407,
24,rep1,3.03743,407,
48,rep1,3.07372,407,
96,rep1,4.09691,407,
192,rep1,5.25888,407,
240,rep1,5.943,407,
288,rep1,6.36455,407,
384,rep1,6.66652,407,
504,rep1,6.39005,407,
0,rep2,3.29115,407,
6,rep2,3.27875,407,
24,rep2,3.33546,407,
48,rep2,3.49831,407,
96,rep2,3.62941,407,
192,rep2,3.84479,407,
240,rep2,4.58377,407,
288,rep2,5.68395,407,
384,rep2,5.83474,407,
504,rep2,4.716,407,
0,rep1,3.72997,413,413 rep 1 & 2 doesn't fit Buchanan
6,rep1,3.7532,413,
24,rep1,3.5605,413,
48,rep1,4.86004,413,
96,rep1,6.79657,413,
192,rep1,7.3927,413,
240,rep1,6.61225,413,
288,rep1,6.65801,413,
384,rep1,6.63417,413,
0,rep2,3.62992,413,
6,rep2,3.63296,413,
24,rep2,3.75587,413,
48,rep2,3.78817,413,
96,rep2,5.74312,413,
192,rep2,6.48586,413,
