"","t","Rep","LOG10N","Isolate"
"1",0,"rep1",3.439332694,125
"2",1,"rep1",3.431363764,125
"3",2,"rep1",3.361727836,125
"4",4,"rep1",3.423245874,125
"5",6,"rep1",3.462397998,125
"6",8,"rep1",3.498310554,125
"7",14,"rep1",3.531478917,125
"8",15,"rep1",3.562292864,125
"9",16,"rep1",3.568201724,125
"10",18,"rep1",4.15075644,125
"11",20,"rep1",4.210853365,125
"12",22,"rep1",4.8865,125
"13",24,"rep1",5.229169703,125
"14",27,"rep1",5.202760687,125
"15",30,"rep1",5.1775365,125
"16",0,"rep2",3.414973348,125
"17",1,"rep2",3.414973348,125
"18",2,"rep2",3.389166084,125
"19",4,"rep2",3.217483944,125
"20",6,"rep2",3.447158031,125
"21",8,"rep2",3.58546073,125
"22",14,"rep2",3.740362689,125
"23",15,"rep2",4.229169703,125
"24",16,"rep2",5.112269768,125
"25",18,"rep2",5.209515015,125
"26",20,"rep2",5.854306042,125
"27",22,"rep2",6.045322979,125
"28",24,"rep2",5.19728056,125
"29",27,"rep2",5.27067884,125
"30",30,"rep2",5.8419848,125
"31",0,"rep1",3.872156273,135
"32",1,"rep1",3.638489257,135
"33",2,"rep1",3.685741739,135
"34",4,"rep1",3.707570176,135
"35",6,"rep1",3.763427994,135
"36",8,"rep1",3.77815125,135
"37",14,"rep1",3.568201724,135
"38",15,"rep1",3.618048097,135
"39",16,"rep1",3.698970004,135
"40",18,"rep1",4.041392685,135
"41",20,"rep1",4.131939295,135
"42",22,"rep1",4.991226076,135
"43",24,"rep1",5.200029267,135
"44",27,"rep1",6.164352856,135
"45",30,"rep1",5.26245109,135
"46",0,"rep2",3.596597096,135
"47",1,"rep2",3.612783857,135
"48",2,"rep2",3.544068044,135
"49",4,"rep2",3.703291378,135
"50",6,"rep2",3.759667845,135
"51",8,"rep2",3.752048448,135
"52",14,"rep2",4.010723865,135
"53",15,"rep2",4.138302698,135
"54",16,"rep2",4.911157609,135
"55",18,"rep2",5.147676324,135
"56",20,"rep2",5.908485019,135
"57",22,"rep2",6.108903128,135
"58",24,"rep2",5.934498451,135
"59",27,"rep2",5.984527313,135
"61",0,"rep1",3.579783597,193
"62",1,"rep1",3.667452953,193
"63",2,"rep1",3.720159303,193
"64",4,"rep1",3.942008053,193
"65",6,"rep1",4.062581984,193
"66",8,"rep1",4.15075644,193
"67",14,"rep1",5.467608106,193
"68",15,"rep1",5.435366507,193
"69",16,"rep1",5.651762447,193
"70",18,"rep1",5.886490725,193
"71",20,"rep1",6.273001272,193
"72",22,"rep1",6.53529412,193
"73",24,"rep1",7.073107098,193
"74",27,"rep1",7.002274082,193
"75",30,"rep1",7.079181246,193
"76",0,"rep2",3.87506126,193
"77",1,"rep2",3.95424251,193
"78",2,"rep2",3.86033801,193
"79",4,"rep2",3.86628734,193
"80",6,"rep2",3.72835378,193
"81",8,"rep2",3.83569057,193
"82",14,"rep2",5.15381486,193
"83",15,"rep2",5.42732379,193
"84",16,"rep2",6.1383027,193
"85",18,"rep2",6.31910606,193
"86",20,"rep2",6.79588002,193
"87",22,"rep2",6.89762709,193
"88",24,"rep2",7.017033339,193
"89",27,"rep2",6.964966375,193
"90",30,"rep2",7.073259992,193
"91",0,"rep1",3.788875116,194
"92",1,"rep1",3.838849091,194
"93",2,"rep1",3.959041392,194
"94",4,"rep1",4.066325925,194
"95",6,"rep1",4.170261715,194
"96",8,"rep1",4.2955671,194
"97",14,"rep1",3.806179974,194
"98",15,"rep1",3.785329835,194
"99",16,"rep1",3.800029359,194
"100",18,"rep1",3.827046017,194
"101",20,"rep1",3.903361336,194
"102",22,"rep1",4.041195234,194
"103",24,"rep1",5.068185862,194
"104",27,"rep1",5.983400738,194
"105",30,"rep1",6.589391023,194
"106",0,"rep2",3.06069784,194
"107",1,"rep2",3.120573931,194
"108",2,"rep2",3.62838893,194
"109",4,"rep2",3.441695136,194
"110",6,"rep2",3.532754379,194
"111",8,"rep2",3.763802224,194
"112",14,"rep2",3.664641976,194
"113",15,"rep2",3.64738297,194
"114",16,"rep2",3.594944737,194
"115",18,"rep2",3.702430536,194
"116",20,"rep2",4.191078229,194
"117",22,"rep2",4.285557309,194
"118",24,"rep2",5.1430148,194
"119",27,"rep2",6.481442629,194
"120",30,"rep2",6.606381365,194
"121",0,"rep1",3.602059991,402
"122",1,"rep1",3.685741739,402
"123",2,"rep1",3.916453949,402
"124",4,"rep1",4.105510185,402
"125",6,"rep1",4.247973266,402
"126",8,"rep1",4.321184027,402
"127",14,"rep1",4.508529719,402
"128",15,"rep1",4.51054501,402
"129",16,"rep1",4.671172843,402
"130",18,"rep1",5.131939295,402
"131",20,"rep1",5.273001272,402
"132",22,"rep1",5.951337519,402
"133",24,"rep1",6.256477206,402
"134",27,"rep1",6.890560731,402
"135",30,"rep1",6.822494985,402
"136",32,"rep1",7.072801149,402
"137",0,"rep2",3.766784515,402
"138",1,"rep2",3.784260583,402
"139",2,"rep2",3.802773725,402
"140",4,"rep2",3.821513528,402
"141",6,"rep2",3.83346586,402
"142",8,"rep2",3.998041264,402
"143",14,"rep2",5.003460532,402
"144",15,"rep2",5.106077519,402
"145",16,"rep2",5.422425676,402
"146",18,"rep2",5.830267801,402
"147",20,"rep2",6.234264124,402
"148",22,"rep2",6.268343914,402
"149",24,"rep2",6.409933123,402
"150",27,"rep2",6.774151859,402
"151",30,"rep2",6.874046726,402
"152",32,"rep2",6.925827575,402
"153",0,"rep1",3.74036269,407
"154",1,"rep1",3.792391689,407
"155",2,"rep1",3.872156273,407
"156",4,"rep1",3.973127854,407
"157",6,"rep1",4.08098705,407
"158",8,"rep1",4.204119983,407
"159",14,"rep1",4.624024125,407
"160",15,"rep1",4.7084209,407
"161",16,"rep1",4.753391529,407
"162",18,"rep1",5.051152522,407
"163",20,"rep1",5.587149498,407
"164",22,"rep1",5.816903839,407
"165",24,"rep1",6.680335513,407
"166",27,"rep1",6.664955206,407
"167",30,"rep1",6.732795698,407
"168",0,"rep2",3.666049738,407
"169",1,"rep2",3.664171705,407
"170",2,"rep2",3.660865478,407
"171",4,"rep2",3.721810615,407
"172",6,"rep2",3.800373355,407
"173",8,"rep2",3.860338007,407
"174",14,"rep2",4.746893557,407
"175",15,"rep2",4.992995098,407
"176",16,"rep2",5.141449773,407
"177",18,"rep2",5.556905269,407
"178",20,"rep2",5.934245881,407
"179",22,"rep2",6.141449773,407
"180",24,"rep2",6.684845362,407
"181",27,"rep2",6.857332496,407
"182",30,"rep2",6.77815125,407
"183",0,"rep1",3.913813852,413
"184",1,"rep1",3.939519253,413
"185",2,"rep1",4.008600172,413
"186",4,"rep1",4.10720997,413
"187",6,"rep1",4.204119983,413
"188",8,"rep1",4.322219295,413
"189",14,"rep1",4.756636108,413
"190",15,"rep1",4.754348336,413
"191",16,"rep1",4.993289236,413
"192",18,"rep1",5.597695186,413
"193",20,"rep1",5.631950826,413
"194",22,"rep1",6.539076099,413
"195",24,"rep1",6.267171728,413
"196",27,"rep1",6.907545713,413
"197",30,"rep1",6.911157609,413
"198",0,"rep2",2.977494969,413
"199",1,"rep2",3.25791845,413
"200",2,"rep2",3.692406235,413
"201",4,"rep2",3.913548958,413
"202",6,"rep2",3.839478047,413
"203",8,"rep2",4.02201574,413
"204",14,"rep2",4.688419822,413
"205",15,"rep2",4.757396029,413
"206",16,"rep2",5.165837625,413
"207",18,"rep2",5.667919685,413
"208",20,"rep2",5.922725458,413
"209",22,"rep2",5.979548375,413
"210",24,"rep2",6.90579588,413
"211",27,"rep2",7.056904851,413
"212",30,"rep2",7.15330662,413
"213",0,"rep1",3.76342799,433
