Isolate,T,mumax,sqrt_mumax
193,10,0.057872547,0.240567135
193,10,0.057470674,0.23973042
193,22,0.421003552,0.648847865
193,22,0.828600533,0.910274977
194,10,0.06696687,0.258779578
194,10,0.107286006,0.327545426
194,22,1.080856097,1.039642293
194,22,0.893758349,0.945387936
402,10,0.11774285,0.34313678
402,10,0.050786708,0.225359065
402,22,0.482903993,0.694912939
402,22,0.458154036,0.676870767
407,10,0.036036884,0.189833833
407,10,0.063757897,0.252503261
407,22,0.487669715,0.698333527
407,22,0.482599188,0.694693593
413,10,0.821586599,0.906414143
413,10,0.125593297,0.354391446
413,22,0.344684144,0.58709807
413,22,0.388896528,0.623615689
433,10,0.052916139,0.230035082
433,10,0.062192472,0.249384186
433,22,0.310492849,0.557218852
433,22,0.327383405,0.572174279
457,10,0.086355387,0.293862871
457,10,0.068275619,0.261296037
457,22,0.483707134,0.695490571
457,22,0.400128141,0.632556829
474,10,0.063495341,0.251982819
474,10,0.062900891,0.2508005
474,22,0.617729601,0.78595776
474,22,0.395458896,0.628855226
495,10,0.033440552,0.182867581
495,10,0.088565131,0.297598943
495,22,0.640614115,0.80038373
495,22,0.579644343,0.761343774
518,10,0.086071115,0.293378791
518,10,0.068027817,0.260821427
518,22,0.442316267,0.665068618
518,22,1.412599474,1.188528281
536,10,0.102486999,0.320135907
536,10,0.056406011,0.237499497
536,22,1.778934852,1.333767166
536,22,0.3840857,0.619746481
564,10,0.106302708,0.326040961
564,10,0.140913231,0.375384111
564,22,1.014138942,1.007044658
564,22,0.776149768,0.880993626
570,10,0.105421245,0.32468638
570,10,0.096931733,0.311338614
570,22,0.541937449,0.73616401
570,22,0.380145709,0.616559574
638,10,0.032996105,0.181648301
638,10,0.093450973,0.305697518
638,22,0.508998425,0.713441255
638,22,0.708092594,0.841482379
649,10,0.078762457,0.280646499
649,10,0.045242247,0.212702249
649,22,0.386595846,0.621768322
649,22,0.429091351,0.655050648
