,lag,mumax,LOG10Nmax
Iso193Rep1,4.488761454,0.404314371,7.166595114
Iso194Rep1,21.71603726,1.006721312,6.628779293
Iso125Rep1,15.35442799,0.506375259,5.208385873
Iso135Rep1,18.13090004,0.771930207,5.660444926
Iso402Rep1,12.46584452,0.464608981,7.165606525
Iso407Rep1,11.66377051,0.46815797,6.869052955
Iso413Rep1,10.82785311,0.446591372,7.691457504
Iso433Rep1,0,0.308567029,7.268146966
Iso457Rep3,8.160356611,0.444581324,6.302717108
Iso474Rep1,10.92034182,1.145570523,7.004228282
Iso495Rep1,14.72942902,0.590278205,7.030764215
Iso518Rep1,10.79316955,0.461750173,6.83479602
Iso536Rep2,20.64229771,1.426257878,6.916498744
Iso564Rep1,13.8038919,1.069048111,6.929202678
Iso570Rep1,11.73762348,0.523650054,7.326779045
Iso638Rep1,6.492253434,0.545571174,7.223345758
Iso649Rep1,6.481124448,0.378188323,7.668231742
Iso193Rep2,10.96071519,0.989701559,7.037611349
Iso194Rep2,19.18526698,0.842170841,6.904689899
Iso125Rep2,13.67164003,1.674480798,5.603055121
Iso135Rep2,13.15993719,0.803512716,6.020663688
Iso402Rep2,8.30388862,0.485819591,7.045458967
Iso407Rep2,8.316922478,0.446351703,6.860586147
Iso413Rep2,3.562510111,0.381378336,9.141513204
Iso433Rep2,0,0.326651635,7.201498927
Iso457Rep4,4.921259535,0.362442807,6.398074837
Iso474Rep2,3.02932395,0.392310405,7.240735344
Iso495Rep2,7.053985385,0.56986072,7.110302124
Iso518Rep2,18.89390387,1.392762479,6.674754957
Iso536Rep3,5.042969741,0.35419493,6.458189986
Iso564Rep2,12.68321438,0.682176041,6.717767486
Iso570Rep2,5.033967561,0.379689012,7.302487231
Iso638Rep2,13.48913058,0.66291853,7.244122388
Iso649Rep2,11.06163022,0.616794126,6.942557907
