"","RMSE"
"Iso193rmse.buc",0.158294772092014
"Iso193rmse.gom",0.225712152083308
"Iso193rmse.bar",0.192763366184033
"Iso194rmse.buc",0.176328649066304
"Iso194rmse.gom",0.164446898145438
"Iso194rmse.bar",0.160774673024983
"Iso402rmse.buc",0.314106624952099
"Iso402rmse.gom",0.326183832585471
"Iso402rmse.bar",0.322038616315047
"Iso407rmse.buc",0.220303561795202
"Iso407rmse.gom",0.243708317110319
"Iso407rmse.bar",0.230367879314731
"Iso413rmse.buc",0.223225275326235
"Iso413rmse.gom",0.221223674159484
"Iso413rmse.bar",0.221184722560367
"Iso433rmse.buc",0.0938370591559206
"Iso433rmse.gom",0.0749062375171582
"Iso433rmse.bar",0.0683616405226563
"Iso457rmse.buc",0.167133893271777
"Iso457rmse.gom",0.124329753448552
"Iso457rmse.bar",0.124283985550395
"Iso474rmse.buc",0.162505835297048
"Iso474rmse.gom",0.134001598830954
"Iso474rmse.bar",0.141318191722052
"Iso495rmse.buc",0.226346092025403
"Iso495rmse.gom",0.23319226781435
"Iso495rmse.bar",0.224652220338373
"Iso518rmse.buc",0.0716960593117455
"Iso518rmse.gom",0.07460415519739
"Iso518rmse.bar",0.0704854214661845
"Iso536rmse.buc",0.198974942260388
"Iso536rmse.gom",0.173640443091082
"Iso536rmse.bar",0.154333591819757
"Iso564rmse.buc",0.125025698724969
"Iso564rmse.gom",0.113364342124667
"Iso564rmse.bar",0.107932466865799
"Iso570rmse.buc",0.0632104399487816
"Iso570rmse.gom",0.0647696632415631
"Iso570rmse.bar",0.0624947240014852
"Iso638rmse.buc",0.241818788089835
"Iso638rmse.gom",0.255216994263705
"Iso638rmse.bar",0.242092384060923
"Iso649rmse.buc",0.0731472650255243
"Iso649rmse.gom",0.0894029607094015
"Iso649rmse.bar",0.0779262775038921
