"","LOG10N0","lag","mumax","LOG10Nmax","AIC","BIC"
"Iso193Rep1_buccoef",3.32254947145441,161.580300929066,0.0461739838346427,5.8576569987815,0.109108369269768,1.62203383424
"Iso193Rep1_gomcoef",3.33148013021165,169.282448720897,0.0573930382222398,5.92317818415352,7.50973682619556,9.02266229116579
"Iso193Rep1_barcoef",3.32826076255347,174.260581782302,0.057872546668047,5.90826359582084,4.19766859507209,5.71059406004232
"Iso193Rep2_buccoef",3.23637443820478,159.994863616728,0.046753469829607,5.83548993226479,2.74356928315825,4.25649474812848
"Iso193Rep2_gomcoef",3.24186711446918,167.001087529801,0.0584239966072517,5.88736050571712,1.36882975017595,2.88175521514618
"Iso193Rep2_barcoef",3.23806993753969,170.885053974677,0.0574706743610439,5.87832999937773,13.3200206611889,14.8329461261591
"Iso194Rep1_buccoef",3.10586333687717,45.834896370688,0.0513695086817154,6.7005025,6.51919573016107,8.0321211951313
"Iso194Rep1_gomcoef",3.1595408907035,75.5272656160534,0.0887115774672853,6.73179842233659,4.14704034632953,5.65996581129976
"Iso194Rep1_barcoef",3.12562824307114,67.9813478349559,0.0669668702590779,6.7102348694513,3.58441712163847,5.0973425866087
"Iso194Rep2_buccoef",3.0178925,93.6224059277713,0.0798754776088449,6.669585,-0.327669989415181,1.18525547555505
"Iso194Rep2_gomcoef",3.01930476530434,104.283617068992,0.133769132176433,6.67162737506378,-0.0290666316605339,1.4838588333097
"Iso194Rep2_barcoef",3.01793246964746,110.696058502004,0.10728600560636,6.66980086111744,-0.314610525689503,1.19831493928073
"Iso402Rep1_buccoef",3.097488,144.639362435407,0.0828244655002798,6.61621,-17.7111543664629,-16.7250314797818
"Iso402Rep1_gomcoef",3.09748539618123,172.760946779781,0.204671231831916,6.61906058661928,-17.7852846252288,-16.7991617385477
"Iso402Rep1_barcoef",3.09742001808434,158.71782757517,0.117742849648385,6.61678518293991,-17.7395885340959,-16.7534656474148
"Iso402Rep2_buccoef",3.32365571571106,145.587548962784,0.0276843689542767,5.03590315746816,21.5066921028852,23.0196175678554
"Iso402Rep2_gomcoef",3.32408795128424,165.64436659575,0.0490080315729423,4.98421557450086,22.2717777816265,23.7847032465967
"Iso402Rep2_barcoef",3.3218224547099,172.196175519926,0.0507867084771659,5.00756807697475,22.0122366476683,23.5251621126386
"Iso407Rep1_buccoef",3.06221667138068,33.2353415785132,0.0311025921929027,6.528285,-4.36756612500524,-2.85464066003501
"Iso407Rep1_gomcoef",2.98905962991732,45.2694581383013,0.0409158237370078,6.59851560247974,-0.81934447358684,0.69358099138339
"Iso407Rep1_barcoef",2.99275825341093,41.9555047246575,0.0360368841616098,6.5294081475373,-3.31736778705337,-1.80444232208314
"Iso407Rep2_buccoef",3.40290894784645,166.068148300661,0.0377323476788213,5.4010001609827,13.5077007063421,15.0206261713123
"Iso407Rep2_gomcoef",3.41512066359069,179.764407901025,0.0573168540891612,5.39811324982563,15.2466220495002,16.7595475144704
"Iso407Rep2_barcoef",3.41476002410322,189.757595151238,0.0637578967781434,5.40870020173349,14.374640320864,15.8875657858343
"Iso413Rep1_buccoef",3.71001543004917,23.9999993611236,0.0994153986706062,6.8242825,8.96883558044595,9.95495846712704
"Iso413Rep1_gomcoef",3.6812207608928,37.7869882993048,0.265746783380805,6.82384480394414,8.65892214785124,9.64504503453234
"Iso413Rep1_barcoef",3.68122332449225,44.7662134082381,0.821586599325982,6.81873999998,8.6706566015413,9.6567794882224
"Iso413Rep2_buccoef",3.67291666666667,45.1701782654608,0.0937799734905981,6.513285,8.10770359330149,9.09382647998259
"Iso413Rep2_gomcoef",3.6728894346996,51.4228032444343,0.116071659666741,6.51570006533128,8.10544131001027,9.09156419669137
"Iso413Rep2_barcoef",3.66831425235006,56.5629574370248,0.125593296860209,6.51331751056745,8.08639519302027,9.07251807970137
"Iso433Rep1_buccoef",3.501355,73.1327490314531,0.044420464233063,6.17857,-11.772966833029,-10.7868439463479
"Iso433Rep1_gomcoef",3.49967076337073,80.5073603707533,0.0600618219604172,6.21286489499928,-9.35494497358451,-8.36882208690341
"Iso433Rep1_barcoef",3.47528381080752,81.4539445693589,0.0529161388144724,6.19416033266701,-14.3274560607723,-13.3413331740912
"Iso433Rep2_buccoef",3.80616999822892,88.8487408786076,0.0335936544060222,6.0662,-3.96936605251936,-2.98324316583826
"Iso433Rep2_gomcoef",3.80622160299702,112.583547829417,0.0558823247948802,6.05942086778683,-13.283205244666,-12.2970823579849
"Iso433Rep2_barcoef",3.79663867291556,122.469609669332,0.0621924722411976,6.01871528848564,-11.4118299692484,-10.4257070825673
"Iso457Rep1_buccoef",3.04902333635482,45.0594079309405,0.0262755694035843,6.03518,8.68072223976172,10.1936477047319
"Iso457Rep1_gomcoef",3.201175866607,169.844057941206,0.100098454083749,6.00000825918774,2.49501420200568,4.00793966697591
"Iso457Rep1_barcoef",3.20092294911339,167.441173751622,0.0863553870875711,5.97946761004575,2.7511811940864,4.26410665905663
"Iso457Rep2_buccoef",3.0779275,87.4908082680835,0.0570945162016982,6.31547333333333,-20.5888513569192,-19.6027284702381
"Iso457Rep2_gomcoef",3.08024760169326,97.5900778000996,0.0728238994114049,6.40169171813013,-20.7642808998753,-19.7781580131942
"Iso457Rep2_barcoef",3.07257934394348,101.37544647253,0.0682756186214631,6.33798303508562,-25.790263725839,-24.8041408391579
"Iso474Rep1_buccoef",3.1806974984021,92.4699208667127,0.0470679915139274,6.44768,-16.5993324899598,-15.6132096032787
"Iso474Rep1_gomcoef",3.18876517226498,133.548692206991,0.0867420663388657,6.47176011271306,-18.7034955351663,-17.7173726484852
"Iso474Rep1_barcoef",3.16765364497334,115.046497197008,0.0634953407255388,6.43144272211361,-16.3836495334507,-15.3975266467696
"Iso474Rep2_buccoef",3.65316526698399,91.1775844361005,0.0140914926315145,4.85769035709947,8.53754789040718,9.52367077708828
"Iso474Rep2_gomcoef",5.02505154305545,263.913804478813,0.0391349877071308,3.65246668591816,4.97514152702949,5.96126441371059
