,LOG10N0,lag,mumax,LOG10Nmax,AIC,BIC
Iso193Rep1_buccoef,3.655798623,3.398223953,0.365095741,7.040727664,-15.51935764,-11.97910664
Iso193Rep1_gomcoef,3.634740512,4.949759667,0.429641236,7.630231741,-13.01015368,-9.469902678
Iso193Rep1_barcoef,3.644306455,4.988830601,0.421003552,7.163290477,-16.82193245,-13.28168145
Iso193Rep2_buccoef,3.853328914,8.673465413,0.613968664,6.988221699,-13.20141622,-9.661165219
Iso193Rep2_gomcoef,3.853052152,11.10059111,1.018780613,7.044710251,-20.38547644,-16.84522544
Iso193Rep2_barcoef,3.842626489,10.30013342,0.828600533,6.98836717,-16.08387219,-12.54362118
Iso194Rep1_buccoef,3.930987896,21.45284991,0.87926353,6.589391023,-4.032134025,-0.49188302
Iso194Rep1_gomcoef,3.925978437,21.83892717,1.100893578,6.68346923,-4.05450871,-0.514257705
Iso194Rep1_barcoef,3.920785649,22.0363882,1.080856097,6.591995823,-2.362063163,1.178187842
Iso194Rep2_buccoef,3.515731266,18.85354071,0.790601851,6.606381365,7.583845082,11.12409609
Iso194Rep2_gomcoef,3.502842625,18.9949311,0.798847089,7.510520617,7.614209258,11.15446026
Iso194Rep2_barcoef,3.507571887,19.46964135,0.893758349,6.741312011,6.379306298,9.919557303
Iso125Rep1_buccoef,3.449837739,14.89156177,0.440391645,5.191914692,-22.45426993,-18.91401893
Iso125Rep1_gomcoef,3.450907994,15.63984563,0.542666995,5.310161183,-16.20976215,-12.66951115
Iso125Rep1_barcoef,3.439754198,16.69823051,0.698535516,5.244159532,-20.26742696,-16.72717595
Iso125Rep2_buccoef,3.411535915,12.65389168,0.863657387,5.641914644,10.8516431,14.3918941
Iso125Rep2_gomcoef,3.413692848,13.68589975,1.628911529,5.610890554,8.357705559,11.89795656
Iso125Rep2_barcoef,3.413387841,14.02083011,2.024093248,5.57921618,8.811994284,12.35224529
Iso135Rep1_buccoef,3.708614587,15.42444576,0.371482603,5.576131594,6.37394516,9.914196165
Iso135Rep1_gomcoef,3.725701543,18.61720288,0.840763335,5.690441738,5.669464119,9.209715124
Iso135Rep1_barcoef,3.70859108,18.89143708,0.886098017,5.676206957,4.425287657,7.965538663
Iso135Rep2_buccoef,3.661409444,12.90738045,0.724494005,6.009309631,-11.27521959,-8.079932938
Iso135Rep2_gomcoef,3.66336019,13.47588613,0.948216284,6.067589943,-7.943410679,-4.748124031
Iso135Rep2_barcoef,3.658316704,13.70442287,0.949429591,6.027659665,-9.199072742,-6.003786094
Iso402Rep1_buccoef,3.979820527,12.05259871,0.438841875,6.947648067,1.688310199,5.55125381
Iso402Rep1_gomcoef,3.972881849,12.34167444,0.457843124,7.614436879,2.166674923,6.029618534
Iso402Rep1_barcoef,3.964531681,12.76572275,0.482903993,7.086216763,0.62225057,4.485194182
Iso402Rep2_buccoef,3.801759642,6.283799408,0.367935734,6.85800872,-17.4619362,-13.59899259
Iso402Rep2_gomcoef,3.790919675,8.306716264,0.48597076,7.046582502,-34.82963632,-30.96669271
Iso402Rep2_barcoef,3.753527235,7.878751397,0.458154036,6.854495564,-24.53298377,-20.67004016
Iso407Rep1_buccoef,3.943857591,11.43625148,0.452290436,6.698875452,-3.814099886,-0.27384888
Iso407Rep1_gomcoef,3.930435603,11.19922596,0.440230459,7.451333231,-1.416306999,2.123944007
Iso407Rep1_barcoef,3.927372813,11.95950992,0.487669715,6.864744359,-4.248933551,-0.708682545
Iso407Rep2_buccoef,3.702654178,7.546132039,0.403777927,6.817741873,-31.60183687,-28.06158587
Iso407Rep2_gomcoef,3.696756701,9.098317484,0.494294504,7.209282297,-23.53256295,-19.99231194
Iso407Rep2_barcoef,3.6722067,8.974854873,0.482599188,6.892471858,-31.88221721,-28.3419662
Iso413Rep1_buccoef,4.082580422,10.60586749,0.418901437,6.909351661,-1.179223292,2.361027713
Iso413Rep1_gomcoef,4.070630216,11.1183868,0.468885289,7.330576096,-2.400574319,1.139676686
Iso413Rep1_barcoef,3.982752908,8.445707228,0.344684144,18.6964771,2.878996912,6.419247918
Iso413Rep2_buccoef,3.460342159,5.071885249,0.374545218,7.15330662,11.20190026,14.74215126
Iso413Rep2_gomcoef,3.002909106,2.636022164,0.377906411,10.2123298,6.478196574,10.01844758
Iso413Rep2_barcoef,3.36205467,4.992034682,0.388896528,7.531298556,7.678869256,11.21912026
Iso433Rep1_buccoef,3.798813906,3.339628381,0.339013537,7.147122858,-14.62624804,-11.08599703
Iso433Rep1_gomcoef,3.755138098,4.758957539,0.388599634,8.011106422,-13.9753417,-10.43509069
Iso433Rep1_barcoef,3.800712509,5.229882983,0.393152368,7.314198903,-18.01974063,-14.47948963
Iso433Rep2_buccoef,3.403840572,0,0.326273805,7.077396436,7.97734189,11.5175929
Iso433Rep2_gomcoef,3.20897783,0,0.354246152,8.402444648,11.19323088,14.73348188
Iso433Rep2_barcoef,3.410151876,0,0.327308892,7.43167032,9.194310186,12.73456119
Iso433Rep1_buc_nolag_coef,3.540193,0,0.307998256,7.166331422,-7.297302863,-4.465102059
Iso433Rep1_bar_nolag_coef,3.536262,0,0.310492849,7.612884738,-4.858061446,-2.025860642
Iso433Rep2_buc_nolag_coef,3.408333,0,0.326254384,7.077025498,7.97734189,11.5175929
Iso433Rep2_bar_nolag_coef,3.410225,0,0.327383405,7.430793636,7.194259832,10.02646064
Iso457Rep1_buccoef,4.23748617,16.09441295,0.633191365,6.277609214,16.04784913,18.87259592
Iso457Rep1_gomcoef,3.86272467,85.65295782,52.06541287,3807.406847,-1.995862973,0.828883815
Iso457Rep1_barcoef,4.00855928,12.57188411,0.431019759,18.95044019,4.081540752,6.90628754
Iso457Rep2_buccoef,3.461469694,11.13764595,0.604570576,6.22697434,12.6198991,15.44464589
Iso457Rep2_gomcoef,2.91168892,20.34632464,1.017306831,44.20628946,8.525875816,11.3506226
Iso457Rep2_barcoef,3.332110706,8.063646026,0.438077952,14.62789307,11.27107891,14.0958257
Iso457Rep3_buccoef,3.221254639,3.835366007,0.320913626,6.111371238,8.544183305,12.08443431
Iso457Rep3_gomcoef,3.351906053,7.916147019,0.415017919,6.742162365,9.628930216,13.16918122
Iso457Rep3_barcoef,3.369586281,9.401163198,0.483707134,6.284902634,5.982287752,9.522538757
Iso457Rep4_buccoef,3.086235755,1.951057632,0.303794533,6.139319649,6.5211535,10.06140451
Iso457Rep4_gomcoef,3.159197696,4.893866456,0.353810991,7.110455447,8.021135388,11.56138639
Iso457Rep4_barcoef,3.239900124,6.713518519,0.400128141,6.351361381,5.50215321,9.042404216
Iso474Rep1_buccoef,3.694496397,3.504367864,0.408931764,7.022505625,6.121252317,9.661503322
Iso474Rep1_gomcoef,3.931920657,12.13143241,1.349588951,6.99050985,-0.938745884,2.601505121
Iso474Rep1_barcoef,3.833354501,8.04511769,0.617729601,7.042410848,1.186098221,4.726349226
Iso474Rep2_buccoef,3.955928344,0.160704746,0.322144225,7.052041167,-10.15268894,-6.957402287
Iso474Rep2_gomcoef,4.011977845,2.491786101,0.388344178,7.600416904,-14.46713662,-11.27184997
Iso474Rep2_barcoef,4.086452121,3.257941819,0.395458896,7.151877203,-17.13870173,-13.94341508
Iso495Rep1_buccoef,3.951579021,13.72478245,0.505545544,6.866228149,2.105324274,5.645575279
Iso495Rep1_gomcoef,3.96382595,14.8585568,0.598964629,7.415569059,3.099005882,6.639256887
Iso495Rep1_barcoef,3.959535196,15.31577491,0.640614115,6.986733018,1.191405646,4.731656652
Iso495Rep2_buccoef,3.80602487,5.902014316,0.479014229,6.997864323,-16.07283403,-12.87754738
Iso495Rep2_gomcoef,3.802826548,7.502473514,0.613039255,7.274482101,-16.95699704,-13.7617104
Iso495Rep2_barcoef,3.770335493,7.240292357,0.579644343,7.051575318,-17.85469429,-14.65940764
Iso518Rep1_buccoef,4.057830792,9.947018942,0.385710166,6.747299594,7.386719197,10.9269702
Iso518Rep1_gomcoef,4.052132351,11.34195055,0.502558196,6.897260312,4.939194383,8.479445388
Iso518Rep1_barcoef,4.007812148,10.47754653,0.442316267,6.796125154,5.041329328,8.581580333
Iso518Rep2_buccoef,3.157502733,17.88675005,1.084600419,6.64113952,-2.819962758,0.720288247
Iso518Rep2_gomcoef,3.179898955,18.95440217,1.460947291,6.811654603,-1.784531083,1.755719922
Iso518Rep2_barcoef,3.171842512,18.9659224,1.412599474,6.671183332,-8.023505244,-4.483254238
