,LOG10N0,lag,mumax,LOG10Nmax
Iso193Rep1_buccoef,3.727350979,4.544940926,0.383175271,7.040727664
Iso193Rep1_gomcoef,3.634738496,4.949733188,0.429640727,7.63023336
Iso193Rep1_barcoef,3.644306548,4.988836657,0.421003887,7.163288731
Iso193Rep2_buccoef,3.853328913,9.486068766,0.700747834,6.949753363
Iso193Rep2_gomcoef,3.85305215,11.10059226,1.018780928,7.044710121
Iso193Rep2_barcoef,3.842626165,10.30012211,0.828599136,6.988367204
Iso194Rep1_buccoef,3.930987896,21.45284991,0.87926353,6.589391023
Iso194Rep1_gomcoef,3.925978235,21.83892072,1.100892005,6.683469274
Iso194Rep1_barcoef,3.920786366,22.03641044,1.080862302,6.591994896
Iso194Rep2_buccoef,3.515731267,18.8535407,0.790601849,6.606381365
Iso194Rep2_gomcoef,3.502839902,18.99486681,0.7988376,7.510553532
Iso194Rep2_barcoef,3.507572361,19.46965716,0.893762659,6.741305166
Iso125Rep1_buccoef,3.463768813,15.31227602,0.462243008,5.20315563
Iso125Rep1_gomcoef,3.450907977,15.63984903,0.542668304,5.310159153
Iso125Rep1_barcoef,3.439754102,16.69822742,0.698534387,5.244160205
Iso125Rep2_buccoef,3.411535914,12.65389158,0.86365736,5.641914644
Iso125Rep2_gomcoef,3.413692914,13.68590088,1.628912533,5.610890506
Iso125Rep2_barcoef,3.413386103,14.02078649,2.024016761,5.579218594
Iso135Rep1_buccoef,3.70341739,16.90454806,0.499107939,5.713401973
Iso135Rep1_gomcoef,3.725683942,18.61649103,0.840606412,5.690464922
Iso135Rep1_barcoef,3.708588961,18.89133891,0.886056266,5.676220613
Iso135Rep2_buccoef,3.661409445,12.90738046,0.724494007,6.009309631
Iso135Rep2_gomcoef,3.66336004,13.47587708,0.948212137,6.067592141
Iso135Rep2_barcoef,3.658317391,13.7044498,0.949440333,6.027656063
Iso402Rep1_buccoef,3.979820527,12.05259874,0.438841875,6.947648067
Iso402Rep1_gomcoef,3.97288585,12.34178119,0.45784874,7.614404695
Iso402Rep1_barcoef,3.964533327,12.76576531,0.482906076,7.086214724
Iso402Rep2_buccoef,3.801759645,6.283799479,0.367935736,6.85800872
Iso402Rep2_gomcoef,3.790919605,8.306713992,0.485970637,7.046582764
Iso402Rep2_barcoef,3.753527235,7.87875117,0.458154015,6.854495622
Iso407Rep1_buccoef,3.943857589,11.43625147,0.452290435,6.698875452
Iso407Rep1_gomcoef,3.930414079,11.19861461,0.440201032,7.451510358
Iso407Rep1_barcoef,3.927373171,11.95950668,0.487668506,6.864751282
Iso407Rep2_buccoef,3.702654179,7.546132077,0.403777928,6.817741873
Iso407Rep2_gomcoef,3.696757933,9.098349632,0.494295996,7.209278819
Iso407Rep2_barcoef,3.672207062,8.974871264,0.48260026,6.892469005
Iso413Rep1_buccoef,4.082580421,10.60586747,0.418901436,6.909351661
Iso413Rep1_gomcoef,4.070631425,11.1184298,0.468887921,7.330565342
Iso413Rep1_barcoef,4.051148152,11.24088393,0.474087016,6.990028209
Iso413Rep2_buccoef,3.617143735,8.793753377,0.470038605,7.105105736
Iso413Rep2_gomcoef,3.002944359,2.636299664,0.377908132,10.21216857
Iso413Rep2_barcoef,3.362139136,4.993570699,0.38892487,7.531168097
Iso433Rep1_buc_nolag_coef,3.540193,0,0.3079983,7.166331
Iso433Rep1_bar_nolag_coef,3.536262,0,0.3104931,7.612875
Iso433Rep2_buc_nolag_coef,3.408333,0,0.3262544,7.077025
Iso433Rep2_bar_nolag_coef,3.410224,0,0.3273839,7.43078
Iso457Rep3_buccoef,3.433395119,9.740072261,0.468842564,6.186733912
Iso457Rep3_gomcoef,3.352088385,7.920472348,0.415162131,6.741630071
Iso457Rep3_barcoef,3.369596801,9.40136238,0.4837108,6.284922503
Iso457Rep4_buccoef,3.330389346,6.710258805,0.376363285,6.156441208
Iso457Rep4_gomcoef,3.159196233,4.893844763,0.353810031,7.110477755
Iso457Rep4_barcoef,3.239919931,6.713910477,0.400135859,6.351370478
Iso474Rep1_buccoef,3.858683905,6.810996513,0.5176439,6.982113374
Iso474Rep1_gomcoef,3.931920662,12.13143826,1.349591995,6.990509225
Iso474Rep1_barcoef,3.833354188,8.045110553,0.617729146,7.042410986
Iso474Rep2_buccoef,3.955928338,0.160705414,0.322144236,7.052041167
Iso474Rep2_gomcoef,4.011985945,2.491873211,0.388345476,7.600408719
Iso474Rep2_barcoef,4.086452368,3.257946427,0.395459003,7.151877064
Iso495Rep1_buccoef,3.983765606,14.28577876,0.532325228,6.883010243
Iso495Rep1_gomcoef,3.963826118,14.85856595,0.598966859,7.415553848
Iso495Rep1_barcoef,3.959536691,15.31579984,0.640615092,6.986736611
Iso495Rep2_buccoef,3.806024866,5.90201425,0.479014227,6.997864323
Iso495Rep2_gomcoef,3.802826184,7.502464982,0.613038684,7.274482972
Iso495Rep2_barcoef,3.770335828,7.240298606,0.579644662,7.05157513
Iso518Rep1_buccoef,4.057830789,9.947018801,0.385710162,6.747299594
Iso518Rep1_gomcoef,4.052130099,11.34182973,0.502548044,6.897284263
Iso518Rep1_barcoef,4.007815031,10.47764446,0.442321323,6.796116148
Iso518Rep2_buccoef,3.184322181,18.8207826,1.331955257,6.64113952
Iso518Rep2_gomcoef,3.179899223,18.95440712,1.460948474,6.811655012
Iso518Rep2_barcoef,3.17184199,18.9659155,1.412600054,6.671180292
Iso536Rep2_buccoef,3.716785443,19.45476821,0.864526904,6.966705678
Iso536Rep2_gomcoef,3.719953813,20.61832182,1.403864632,6.929106197
Iso536Rep2_barcoef,3.723803706,21.12008341,1.778921444,6.763046716
Iso536Rep3_buccoef,3.100475025,4.392718769,0.329271237,6.167791628
Iso536Rep3_gomcoef,3.013781356,4.944715067,0.353166276,7.356345101
Iso536Rep3_barcoef,3.094959206,6.32258123,0.384089502,6.385917651
Iso564Rep1_buccoef,3.92527845,13.00485952,0.759367538,6.907892506
Iso564Rep1_gomcoef,3.920310641,13.80179161,1.079647447,6.937865991
Iso564Rep1_barcoef,3.914268517,13.84830448,1.014139024,6.874840743
Iso564Rep2_buccoef,3.54942026,12.6423628,0.675442132,6.714201389
Iso564Rep2_gomcoef,3.549164935,13.22136639,0.808690676,6.908272215
Iso564Rep2_barcoef,3.543575429,13.27501789,0.776148943,6.752775809
Iso570Rep1_buccoef,3.905625861,11.76597238,0.523147684,7.041493956
Iso570Rep1_gomcoef,3.873139685,11.13165744,0.48584285,8.084585037
Iso570Rep1_barcoef,3.887207903,11.99934307,0.54194021,7.214691619
Iso570Rep2_buccoef,4.099776693,3.293068652,0.315302041,7.128482682
Iso570Rep2_gomcoef,4.073952713,4.936021355,0.380619178,7.564858789
Iso570Rep2_barcoef,4.073439046,5.099543496,0.380145392,7.187856918
Iso638Rep1_buccoef,3.851417233,4.951032889,0.420482128,7.050792214
Iso638Rep1_gomcoef,3.83384292,6.507861478,0.547015116,7.229715829
Iso638Rep1_barcoef,3.793014681,6.096696995,0.508998678,7.049744069
