,isolate,rep,coef,,
LOG10N0,125,rep1,3.439754102,,
lag,125,rep1,16.69822742,,
mumax,125,rep1,0.698534387,,
LOG10Nmax,125,rep1,5.244160205,,
LOG10N01,135,rep1,3.708588718,,
lag1,135,rep1,18.89132769,,
mumax1,135,rep1,0.886051494,,
LOG10Nmax1,135,rep1,5.67622217,,
LOG10N02,193,rep1,3.644306555,,
lag2,193,rep1,4.988838176,,
mumax2,193,rep1,0.421003985,,
LOG10Nmax2,193,rep1,7.163288177,,
LOG10N03,194,rep1,3.920783209,,
lag3,194,rep1,22.03631223,,
mumax3,194,rep1,1.080834519,,
LOG10Nmax3,194,rep1,6.591999609,,
LOG10N04,402,rep1,3.964533716,,
lag4,402,rep1,12.76577535,,
mumax4,402,rep1,0.482906567,,
LOG10Nmax4,402,rep1,7.086214239,,
LOG10N05,407,rep1,3.927372679,,
lag5,407,rep1,11.95951575,,
mumax5,407,rep1,0.487670779,,
LOG10Nmax5,407,rep1,6.864739117,,
LOG10N06,413,rep1,4.051153845,,
lag6,413,rep1,11.24105666,,
mumax6,413,rep1,0.474096222,,
LOG10Nmax6,413,rep1,6.990015074,,
LOG10N07,433,rep1,3.800711101,,
lag7,433,rep1,5.229856365,,
mumax7,433,rep1,0.393151834,,"# refit w/o lag, mumax = 0.3104931"
LOG10Nmax7,433,rep1,7.314199446,,
LOG10N08,457,rep1,3.369602713,,
lag8,457,rep1,9.401524571,,
mumax8,457,rep1,0.483718454,,
LOG10Nmax8,457,rep1,6.284917118,,
LOG10N09,474,rep1,3.833356429,,
lag9,474,rep1,8.045161801,,
mumax9,474,rep1,0.617732414,,
LOG10Nmax9,474,rep1,7.042409984,,
LOG10N010,495,rep1,3.959536466,,
lag10,495,rep1,15.31579443,,
mumax10,495,rep1,0.640614456,,
LOG10Nmax10,495,rep1,6.986737636,,
LOG10N011,518,rep1,4.007815411,,
lag11,518,rep1,10.47765741,,
mumax11,518,rep1,0.442321993,,
LOG10Nmax11,518,rep1,6.796114954,,
LOG10N012,536,rep1,3.723804423,,
lag12,536,rep1,21.12011604,,
mumax12,536,rep1,1.778952663,,
LOG10Nmax12,536,rep1,6.763044525,,
LOG10N013,564,rep1,3.914268526,,
lag13,564,rep1,13.84829921,,
mumax13,564,rep1,1.014135964,,
LOG10Nmax13,564,rep1,6.874842459,,
LOG10N014,570,rep1,3.887205879,,
lag14,570,rep1,11.99928954,,
mumax14,570,rep1,0.54193692,,
LOG10Nmax14,570,rep1,7.214695891,,
LOG10N015,638,rep1,3.793014874,,
lag15,638,rep1,6.096704763,,
mumax15,638,rep1,0.508999307,,
LOG10Nmax15,638,rep1,7.049742663,,
LOG10N016,649,rep1,3.706319804,,
lag16,649,rep1,6.852131417,,
mumax16,649,rep1,0.386608297,,
LOG10Nmax16,649,rep1,7.13853489,,
LOG10N017,125,rep2,3.413385823,,
lag17,125,rep2,14.02077944,,
mumax17,125,rep2,2.024004393,,
LOG10Nmax17,125,rep2,5.579218984,,
LOG10N018,135,rep2,3.658317044,,
lag18,135,rep2,13.70443599,,
mumax18,135,rep2,0.949434806,,
LOG10Nmax18,135,rep2,6.027657919,,
LOG10N019,193,rep2,3.842626579,,
lag19,193,rep2,10.3001357,,
mumax19,193,rep2,0.82860073,,
LOG10Nmax19,193,rep2,6.988367278,,
LOG10N020,194,rep2,3.507569501,,
lag20,194,rep2,19.46958837,,
mumax20,194,rep2,0.893752579,,
LOG10Nmax20,194,rep2,6.741305375,,
LOG10N021,402,rep2,3.753527596,,
lag21,402,rep2,7.878772084,,
