,unit_id,T_F,t_F,T_T,t_T,T_S,t_S,T_T2,t_T2,T_H,t_H,conc,isolate
1,1,3.765508663,1.654723928,4.148440101,6.168166298,3.036923311,2.88692146,8.705162903,0.035502506,5.156182321,14,2.000004364,193
2,2,3.8721239,1.353197272,3.91355841,2.84794015,5.339971915,5.264921113,5.491951401,0.017657137,7.298163387,14,2.002255112,193
3,3,4.072853363,1.270260146,5.260877397,5.221592884,5.15585918,2.147959007,7.133888069,0.032100108,6.858572729,14,2.00057165,193
4,4,4.40820779,1.992684061,4.155032132,5.07758523,1.704365959,0.3223482,8.07589774,0.070996607,-0.833956036,14,2,193
5,5,3.701681931,1.633493264,3.714939755,4.675295241,3.5007191,1.702456005,8.736803664,0.02512971,2.120579107,14,2,193
6,6,4.398389685,1.213208135,5.26961089,9.367121559,3.274389205,5.34923282,6.15727688,0.056244909,8.183602677,14,2.077866371,193
7,7,4.444675269,1.129372348,5.492023831,3.51964793,2.275880858,0.22388273,9.461696633,0.029973787,4.89082999,14,2.000000642,193
8,8,4.160797792,1.478118034,3.401295127,7.10251564,3.218195161,1.421666633,7.895574266,0.029782269,4.152819871,14,2,193
9,9,4.129114044,1.92407447,4.096914268,2.569738493,2.004123503,3.452232359,7.747122721,0.015692719,4.199817069,14,2,193
10,10,3.56178627,1.598760967,6.379175733,4.796865929,3.057250358,6.137075016,6.944388407,0.039548827,7.538802859,14,2.011093399,193
11,11,3.705974575,1.976170695,8.660721778,3.254150777,1.579555861,6.761235331,7.046106262,0.054024786,3.586240591,14,2,193
12,12,3.676556753,1.731792512,3.198050857,3.638021047,-0.16637418,4.509519012,8.556331836,0.028250359,1.172175302,14,2,193
13,13,4.187022847,1.356726912,6.682559813,7.328076958,4.078108881,3.411697364,9.009369407,0.027865441,6.119333193,14,2.000314994,193
14,14,3.884103718,1.431473691,8.444839611,6.449806974,5.035541046,3.326247491,6.40211704,0.061932804,4.260517651,14,2,193
15,15,4.26984142,1.148211561,7.096577936,4.101553642,1.744266975,0.654779057,7.495638021,0.035049806,-0.284220185,14,2,193
16,16,3.997699242,1.013077575,4.328465547,5.232933189,0.04407844,2.383615254,9.035771722,0.036801966,3.086932613,14,2,193
17,17,4.217618508,1.715566066,5.964216721,2.729768864,3.45603435,4.062461554,8.046962915,0.027484435,8.812988027,14,2.911363935,193
18,18,4.491906095,1.103184236,8.527573896,4.569290218,2.219523554,0.741566652,9.745746673,0.058008693,2.508547792,14,2,193
19,19,3.880035179,1.446284349,8.53353949,8.822883286,-0.819793132,0.608412505,9.095498034,0.020116127,5.874936368,14,2.03166503,193
20,20,4.277445221,1.640101045,4.46124864,5.890515669,2.303837347,6.323635266,8.50488445,0.056985008,4.279320367,14,2,193
21,21,4.434705231,1.99183862,4.125292726,6.115134653,1.165459399,0.717871496,8.779360782,0.056114046,7.746272261,14,2.012304287,193
22,22,3.712142521,1.495593578,3.625570732,4.354046457,1.686256556,4.239075139,7.794093875,0.030647981,4.98524533,14,2.000001689,193
23,23,4.151673766,1.484349524,4.386965975,4.821626101,0.218169747,4.944732613,9.128017153,0.056968406,5.168106702,14,2.000004765,193
24,24,3.625555096,1.173442335,5.228272808,9.579859213,1.703962334,1.835515724,9.98021396,0.059735397,4.356223657,14,2,193
25,25,3.767220669,1.754820945,8.120120894,7.446317568,-0.589924142,0.658336392,9.58342991,0.051512406,4.490847507,14,2,193
26,26,3.886114093,1.453895489,5.23233881,8.554205347,2.65494819,0.07300482,7.686755743,0.080496841,2.870691694,14,2,193
27,27,3.513390333,1.511169784,4.102767666,7.093753134,2.773716164,4.261644444,6.881123151,0.016701581,5.707104192,14,2.00002015,193
28,28,3.882387957,1.207545113,2.720386435,6.869216586,0.525511939,2.633495784,8.390344301,0.012469616,3.464539284,14,2,193
29,29,4.369690846,1.228658143,4.798265567,4.105416661,1.147132935,0.86565209,8.940889371,0.043353599,6.332657702,14,2.000106486,193
30,30,3.840348997,1.595711996,7.395002846,6.728428333,3.326913745,4.843863785,9.85099398,0.071692582,4.856397959,14,2.000000713,193
31,31,3.982080115,1.574872198,4.491759074,9.215157029,2.192498103,1.189779463,7.181390515,0.073557779,6.043993096,14,2.000049017,193
32,32,4.099565825,1.07706438,3.416281563,4.251122847,2.123278261,4.471834613,8.864384593,0.049765934,1.062205493,14,2,193
33,33,3.993541307,1.03554058,4.607982703,4.791653973,3.309477312,8.049665729,8.733499835,0.057573465,5.75196611,14,2.000024159,193
34,34,3.686217601,1.642795492,5.860967772,7.092409687,0.164374451,6.684807898,9.693955261,0.037102503,1.72214253,14,2,193
35,35,4.327373319,1.9286152,4.675609785,2.666571358,4.27419868,4.055986025,8.472090028,0.049379435,8.161006314,14,2.077883924,193
36,36,4.168466738,1.598092422,6.201829705,4.618436839,2.290380749,3.074876866,8.142701145,0.04752471,7.49213416,14,2.007142368,193
37,37,4.294239861,1.560900748,6.200517853,4.991657402,3.573159201,1.184765193,7.353185864,0.024779194,5.757517835,14,2.00006371,193
