t,Rep,LOG10N,Isolate
0,rep1,3.874443,125
1,rep1,3.966142,125
2,rep1,4.004321,125
4,rep1,4.066326,125
6,rep1,4.139879,125
8,rep1,4.254064,125
14,rep1,4.331427,125
18,rep1,5.585461,125
24,rep1,5.880814,125
48,rep1,6.194514342,125
96,rep1,6.423245874,125
0,rep2,3.851248,125
1,rep2,3.872156,125
2,rep2,3.903090,125
4,rep2,4.019116,125
6,rep2,4.159868,125
8,rep2,4.202761,125
14,rep2,4.415808,125
18,rep2,5.562293,125
24,rep2,5.826074803,125
48,rep2,6.183269844,125
96,rep2,6.416640507,125
0,rep1,3.559297683,135
1,rep1,3.591064607,135
2,rep1,3.62324929,135
4,rep1,3.774516966,135
6,rep1,3.872156273,135
8,rep1,3.908485019,135
14,rep1,4.231724383,135
18,rep1,5.58546073,135
24,rep1,5.951823035,135
48,rep1,6.301029996,135
96,rep1,6.444044796,135
0,rep2,3.625758276,135
1,rep2,3.638489257,135
2,rep2,3.67669361,135
4,rep2,3.73239376,135
6,rep2,3.819543936,135
8,rep2,3.944482672,135
14,rep2,4.386498966,135
18,rep2,5.716003344,135
24,rep2,6.006466042,135
48,rep2,6.167317335,135
96,rep2,6.361727836,135
