,isolate,rep,LOG10N0,lag,mumax,LOG10Nmax
LOG10N0,125,rep1,3.439754102,16.69822742,0.698534387,5.244160205
LOG10N01,135,rep1,3.708588718,18.89132769,0.886051494,5.67622217
LOG10N02,193,rep1,3.644306555,4.988838176,0.421003985,7.163288177
LOG10N03,194,rep1,3.920783209,22.03631223,1.080834519,6.591999609
LOG10N04,402,rep1,3.964533716,12.76577535,0.482906567,7.086214239
LOG10N05,407,rep1,3.927372679,11.95951575,0.487670779,6.864739117
LOG10N06,413,rep1,4.051153845,11.24105666,0.474096222,6.990015074
LOG10N07,433,rep1,3.536262,0,0.3104931,7.612875
LOG10N08,457,rep1,3.369602713,9.401524571,0.483718454,6.284917118
LOG10N09,474,rep1,3.833356429,8.045161801,0.617732414,7.042409984
LOG10N010,495,rep1,3.959536466,15.31579443,0.640614456,6.986737636
LOG10N011,518,rep1,4.007815411,10.47765741,0.442321993,6.796114954
LOG10N012,536,rep1,3.723804423,21.12011604,1.778952663,6.763044525
LOG10N013,564,rep1,3.914268526,13.84829921,1.014135964,6.874842459
LOG10N014,570,rep1,3.887205879,11.99928954,0.54193692,7.214695891
LOG10N015,638,rep1,3.793014874,6.096704763,0.508999307,7.049742663
LOG10N016,649,rep1,3.706319804,6.852131417,0.386608297,7.13853489
LOG10N017,125,rep2,3.413385823,14.02077944,2.024004393,5.579218984
LOG10N018,135,rep2,3.658317044,13.70443599,0.949434806,6.027657919
LOG10N019,193,rep2,3.842626579,10.3001357,0.82860073,6.988367278
LOG10N020,194,rep2,3.507569501,19.46958837,0.893752579,6.741305375
LOG10N021,402,rep2,3.753527596,7.878772084,0.458155439,6.854492436
LOG10N022,407,rep2,3.67220691,8.97486446,0.482599817,6.892470178
LOG10N023,413,rep2,3.362129286,4.993391545,0.388921564,7.531183314
LOG10N024,433,rep2,3.410224,0,0.3273839,7.43078
LOG10N025,457,rep2,3.239909144,6.713760554,0.400136451,6.351337976
LOG10N026,474,rep2,4.086450246,3.257906779,0.395458081,7.151878273
LOG10N027,495,rep2,3.770335848,7.240298956,0.57964468,7.051575119
LOG10N028,518,rep2,3.17184207,18.96591241,1.412595625,6.671183844
LOG10N029,536,rep2,3.09495877,6.32254399,0.384087449,6.385933
LOG10N030,564,rep2,3.543575509,13.27501954,0.776149175,6.752775652
LOG10N031,570,rep2,4.073439644,5.099557295,0.380145741,7.18785625
LOG10N032,638,rep2,4.364133124,13.86484972,0.708092629,7.211970312
LOG10N033,649,rep2,3.176988172,11.17938074,0.624558135,6.739964437
