t,Rep,LOG10N,Isolate
0,rep1,3.439332694,125
1,rep1,3.431363764,125
2,rep1,3.361727836,125
4,rep1,3.423245874,125
6,rep1,3.462397998,125
8,rep1,3.498310554,125
14,rep1,3.531478917,125
15,rep1,3.562292864,125
16,rep1,3.568201724,125
18,rep1,4.15075644,125
20,rep1,4.210853365,125
22,rep1,4.8865,125
24,rep1,5.229169703,125
27,rep1,5.202760687,125
30,rep1,5.1775365,125
0,rep2,3.414973348,125
1,rep2,3.414973348,125
2,rep2,3.389166084,125
4,rep2,3.217483944,125
6,rep2,3.447158031,125
8,rep2,3.58546073,125
14,rep2,3.740362689,125
15,rep2,4.229169703,125
16,rep2,5.112269768,125
18,rep2,5.209515015,125
20,rep2,5.854306042,125
22,rep2,6.045322979,125
24,rep2,5.19728056,125
27,rep2,5.27067884,125
30,rep2,5.8419848,125
0,rep1,3.872156273,135
1,rep1,3.638489257,135
2,rep1,3.685741739,135
4,rep1,3.707570176,135
6,rep1,3.763427994,135
8,rep1,3.77815125,135
14,rep1,3.568201724,135
15,rep1,3.618048097,135
16,rep1,3.698970004,135
18,rep1,4.041392685,135
20,rep1,4.131939295,135
22,rep1,4.991226076,135
24,rep1,5.200029267,135
27,rep1,6.164352856,135
30,rep1,5.26245109,135
0,rep2,3.596597096,135
1,rep2,3.612783857,135
2,rep2,3.544068044,135
4,rep2,3.703291378,135
6,rep2,3.759667845,135
8,rep2,3.752048448,135
14,rep2,4.010723865,135
15,rep2,4.138302698,135
16,rep2,4.911157609,135
18,rep2,5.147676324,135
20,rep2,5.908485019,135
22,rep2,6.108903128,135
24,rep2,5.934498451,135
27,rep2,5.984527313,135
0,rep1,3.579783597,193
1,rep1,3.667452953,193
2,rep1,3.720159303,193
4,rep1,3.942008053,193
6,rep1,4.062581984,193
8,rep1,4.15075644,193
14,rep1,5.467608106,193
15,rep1,5.435366507,193
16,rep1,5.651762447,193
18,rep1,5.886490725,193
20,rep1,6.273001272,193
22,rep1,6.53529412,193
24,rep1,7.073107098,193
27,rep1,7.002274082,193
30,rep1,7.079181246,193
0,rep2,3.87506126,193
1,rep2,3.95424251,193
2,rep2,3.86033801,193
4,rep2,3.86628734,193
6,rep2,3.72835378,193
8,rep2,3.83569057,193
14,rep2,5.15381486,193
15,rep2,5.42732379,193
16,rep2,6.1383027,193
18,rep2,6.31910606,193
20,rep2,6.79588002,193
22,rep2,6.89762709,193
24,rep2,7.017033339,193
27,rep2,6.964966375,193
30,rep2,7.073259992,193
0,rep1,3.788875116,194
1,rep1,3.838849091,194
2,rep1,3.959041392,194
4,rep1,4.066325925,194
6,rep1,4.170261715,194
8,rep1,4.2955671,194
14,rep1,3.806179974,194
15,rep1,3.785329835,194
16,rep1,3.800029359,194
18,rep1,3.827046017,194
20,rep1,3.903361336,194
22,rep1,4.041195234,194
24,rep1,5.068185862,194
27,rep1,5.983400738,194
30,rep1,6.589391023,194
0,rep2,3.06069784,194
1,rep2,3.120573931,194
2,rep2,3.62838893,194
4,rep2,3.441695136,194
6,rep2,3.532754379,194
8,rep2,3.763802224,194
14,rep2,3.664641976,194
15,rep2,3.64738297,194
16,rep2,3.594944737,194
18,rep2,3.702430536,194
20,rep2,4.191078229,194
22,rep2,4.285557309,194
24,rep2,5.1430148,194
27,rep2,6.481442629,194
30,rep2,6.606381365,194
0,rep1,3.602059991,402
1,rep1,3.685741739,402
2,rep1,3.916453949,402
4,rep1,4.105510185,402
