isolate,rep,LOG10Nmax,T
193,rep1,5.908262469,10
194,rep1,6.710235107,10
402,rep1,6.520567909,10
407,rep1,6.529408052,10
413,rep1,7.3703,10
433,rep1,6.194160391,10
457,rep1,5.979467726,10
474,rep1,6.431442509,10
495,rep1,6.569585285,10
518,rep1,6.956637123,10
536,rep1,6.816527716,10
564,rep1,6.659135985,10
570,rep1,6.498082277,10
638,rep1,6.347004736,10
649,rep1,6.140914846,10
193,rep2,5.878331191,10
194,rep2,6.669800952,10
402,rep2,5.007570353,10
407,rep2,5.408676395,10
413,rep2,6.51331751,10
433,rep2,6.018715218,10
457,rep2,6.337982956,10
474,rep2,5.011676537,10
495,rep2,6.357197581,10
518,rep2,6.591446538,10
536,rep2,6.301540956,10
564,rep2,6.493195566,10
570,rep2,6.716601051,10
638,rep2,5.574036151,10
649,rep2,6.458306985,10
193,rep1,7.163288177,22
194,rep1,6.591999609,22
402,rep1,7.086214239,22
407,rep1,6.864739117,22
413,rep1,6.990015074,22
433,rep1,7.612875,22
457,rep1,6.284917118,22
474,rep1,7.042409984,22
495,rep1,6.986737636,22
518,rep1,6.796114954,22
536,rep1,6.763044525,22
564,rep1,6.874842459,22
570,rep1,7.214695891,22
638,rep1,7.049742663,22
649,rep1,7.13853489,22
193,rep2,6.988367278,22
194,rep2,6.741305375,22
402,rep2,6.854492436,22
407,rep2,6.892470178,22
413,rep2,7.531183314,22
433,rep2,7.43078,22
457,rep2,6.351337976,22
474,rep2,7.151878273,22
495,rep2,7.051575119,22
518,rep2,6.671183844,22
536,rep2,6.385933,22
564,rep2,6.752775652,22
570,rep2,7.18785625,22
638,rep2,7.211970312,22
649,rep2,6.739964437,22
