isolate,rep,T (°C),lag (h),lag (day),mumax (ln CFU/mL per h),mumax (log10 CFU/mL per day),h0
193,1,10,174.2606573,7.260860721,0.057872657,0.60310194,4.379039187
194,1,10,67.98113812,2.832547422,0.066966707,0.697872761,1.976757689
402,1,10,180.5398515,7.522493813,0.34221123,3.566248163,26.82707974
407,1,10,41.95559687,1.74814987,0.0360369,0.375547373,0.656513091
413,1,10,44.49353627,1.853897345,0.1143,1.191141989,2.20825497
433,1,10,81.4539618,3.393915075,0.05291614,0.551449136,1.871571535
457,1,10,167.4411419,6.976714246,0.086355314,0.899925113,6.278520358
474,1,10,115.0466239,4.793609329,0.063495431,0.661697935,3.171921394
495,1,10,72.48169706,3.020070711,0.033440375,0.348488493,1.052459892
518,1,10,68.35015247,2.84792302,0.086071161,0.896963901,2.554484141
536,1,10,70.24925319,2.927052216,0.087180782,0.908527472,2.65930735
564,1,10,33.31088608,1.387953587,0.106302397,1.10779745,1.537571444
570,1,10,42.11945662,1.754977359,0.105421246,1.098614809,1.928044115
638,1,10,10.02224839,0.417593683,0.032996302,0.343860724,0.143594066
649,1,10,100.1456513,4.172735471,0.078762436,0.820798291,3.424974143
193,2,10,170.8848825,7.120203438,0.05747046,0.598910569,4.264365091
194,2,10,110.6961055,4.612337729,0.107286034,1.118048118,5.156815518
402,2,10,172.1997634,7.174990142,0.050789459,0.52928659,3.797626063
407,2,10,189.7615948,7.906733117,0.063766407,0.664521827,5.254196738
413,2,10,56.56296046,2.356790019,0.125593307,1.308831684,3.084641449
433,2,10,122.470033,5.102918042,0.062192804,0.648123012,3.30731861
457,2,10,101.3754628,4.223977617,0.068275638,0.711513379,3.005416587
474,2,10,194.0495558,8.085398158,0.062904304,0.655537688,5.300283217
495,2,10,90.44541851,3.768559105,0.088565142,0.92295415,3.478207266
518,2,10,76.83764685,3.201568619,0.068027787,0.708930477,2.269689567
536,2,10,86.1575508,3.58989795,0.056404747,0.587804571,2.110158426
564,2,10,62.17695755,2.590706565,0.140913188,1.468483071,3.804408731
570,2,10,65.76480685,2.740200285,0.096932777,1.010154862,2.768026642
638,2,10,106.2671397,4.427797488,0.093429871,0.973650414,4.311126858
649,2,10,85.60088524,3.566703552,0.045242446,0.471480115,1.681629799
193,1,22,4.988838176,0.207868257,0.421003985,4.387362414,0.911993379
194,1,22,22.03631223,0.918179676,1.080834519,11.26358161,10.34199172
402,1,22,12.76577535,0.531907306,0.482906567,5.032460967,2.676802757
407,1,22,11.95951575,0.498313156,0.487670779,5.082109725,2.532482137
413,1,22,11.24105666,0.468377361,0.474096222,4.94064669,2.314087058
457,1,22,9.401524571,0.39173019,0.483718454,5.040921796,1.974681255
474,1,22,8.045161801,0.335215075,0.617732414,6.437506703,2.157949292
495,1,22,15.31579443,0.638158101,0.640614456,6.675964804,4.260321023
518,1,22,10.47765741,0.436569059,0.442321993,4.609521421,2.012374428
536,1,22,21.12011604,0.880004835,1.778952663,18.53880326,16.31423651
564,1,22,13.84829921,0.577012467,1.014135964,10.56850332,6.098158172
570,1,22,11.99928954,0.499970398,0.54193692,5.647627477,2.823646555
638,1,22,6.096704763,0.254029365,0.508999307,5.304378362,1.347467868
649,1,22,6.852131417,0.285505476,0.386608297,4.028918423,1.150278271
193,2,22,10.3001357,0.429172321,0.82860073,8.635005436,3.705905324
194,2,22,19.46958837,0.811232849,0.893752579,9.313965218,7.555794537
402,2,22,7.878772084,0.32828217,0.458155439,4.774524766,1.567391352
407,2,22,8.97486446,0.373952686,0.482599817,5.029264267,1.880706881
413,2,22,4.993391545,0.208057981,0.388921564,4.053025417,0.843264285
457,2,22,6.713760554,0.279740023,0.400136451,4.169897883,1.16648733
474,2,22,3.257906779,0.135746116,0.395458081,4.121143701,0.55942925
495,2,22,7.240298956,0.301679123,0.57964468,6.040587199,1.82231905
518,2,22,18.96591241,0.79024635,1.412595625,14.72092705,11.63315888
536,2,22,6.32254399,0.263439333,0.384087449,4.002648188,1.054454968
564,2,22,13.27501954,0.553125814,0.776149175,8.088397829,4.473901634
570,2,22,5.099557295,0.212481554,0.380145741,3.961570901,0.841760741
638,2,22,13.86484972,0.577702072,0.708092629,7.379167649,4.262960438
649,2,22,11.17938074,0.465807531,0.624558135,6.508638836,3.031772985
