isolate,Q0,mean_h0,sd_h0
193,0.180905177,3.315325745,1.628979316
194,0.041784709,6.257839866,3.554569918
402,0.090091719,8.717224978,12.1075199
407,0.337252331,2.580974712,1.944427516
413,0.259105228,2.112561941,0.93199153
433,0.10993676,2.589445073,1.015226493
457,0.166875513,3.106276383,2.244741532
474,0.378336955,2.797395788,1.985119724
495,0.193816924,2.653326808,1.473794078
518,0.088460938,4.617426754,4.682392444
536,0.186961691,5.534539314,7.21725642
564,0.077573246,3.978509995,1.890926892
570,0.264407787,2.090369513,0.927772926
638,1.713771238,2.516287308,2.103023866
649,0.19402223,2.3221638,1.080637982
