"","isolate","Q0","Nmax","b","Tmin","Clade","Topt","mu_opt","percent_over_5_d35"
"1",193,0.0349465363557647,3051843.63724857,0.167684836260396,6.78908846749202,"II",36.31,24.5045712879753,3
"2",194,0.00266509621448249,4767989.1727895,0.214671186208799,6.88819067424386,"VII",42.35,57.9521153140524,4
"3",402,0.00751961628030855,2329223.88231247,0.129340496468862,4.25524066911024,"IV",38.735,19.8882925121588,14
"4",407,0.0747779555381708,2653526.53950811,0.149200698369159,6.71418346322743,"IV",38.735,22.8247756027779,3
"5",413,0.0541176328002883,12624203.1418679,0.127599921286951,4.87984246378562,"IV",38.735,18.6616693809153,11
"6",433,0.00705284080286477,6518274.59878149,0.115296251152236,5.82511138627934,"IV",38.735,14.3973710590024,3
"7",457,0.0211993649735081,1731515.741232,0.135980972913925,5.8813881284017,"II",36.31,17.1206626366579,5
"8",474,0.0970886491819734,2566562.38833696,0.149022698094407,6.40939600291887,"III",39.27,23.9803726582079,4
"9",495,0.0282132445525616,5511551.9494641,0.16799470345441,6.7922763584353,"IV",38.735,28.7961924386586,3
"10",518,0.00449963791338238,5673428.87569486,0.200144901541889,6.86008343740316,"II",36.31,34.7421907349017,3
"11",536,0.026677767015438,3687750.65872081,0.21334210483149,7.06256983043508,"VII",42.35,56.6752199829251,4
"12",564,0.00750991151887916,4954358.34418199,0.197437841799542,6.27624576290391,"II",36.31,35.1625235061949,6
"13",570,0.0458103930950211,8022484.14237284,0.135195022847907,5.41805850534546,"V",37.375,18.6660240988107,10
"14",638,0.649635447155835,3513083.44587542,0.153815944546569,5.52250748964139,"V",37.375,24.004328307089,12
"15",649,0.0246608306358374,4163228.90042673,0.149130711864627,6.4583829827179,"IV",38.735,23.16915527054,3
