,isolate,rep,coef,,
LOG10N0,193,rep1,3.328260905,,
lag,193,rep1,174.2606573,,
mumax,193,rep1,0.057872657,,
LOG10Nmax,193,rep1,5.908262469,,
LOG10N01,194,rep1,3.125627344,,
lag1,194,rep1,67.98113812,,
mumax1,194,rep1,0.066966707,,
LOG10Nmax1,194,rep1,6.710235107,,
LOG10N02,402,rep1,3.097488,,
lag2,402,rep1,180.5398515,,
mumax2,402,rep1,0.34221123,,
LOG10Nmax2,402,rep1,6.520567909,,
LOG10N03,407,rep1,2.992758621,,
lag3,407,rep1,41.95559687,,
mumax3,407,rep1,0.0360369,,
LOG10Nmax3,407,rep1,6.529408052,,
LOG10N04,413,rep1,3.681223315,,
lag4,413,rep1,44.49353627,,
mumax4,413,rep1,0.757694876,,"## refitted using first 6 data points, mumax = 0.1143 "
LOG10Nmax4,413,rep1,6.81874,,
LOG10N05,433,rep1,3.475283875,,
lag5,433,rep1,81.4539618,,
mumax5,433,rep1,0.05291614,,
LOG10Nmax5,433,rep1,6.194160391,,
LOG10N06,457,rep1,3.200922929,,
lag6,457,rep1,167.4411419,,
mumax6,457,rep1,0.086355314,,
LOG10Nmax6,457,rep1,5.979467726,,
LOG10N07,474,rep1,3.167653871,,
lag7,474,rep1,115.0466239,,
mumax7,474,rep1,0.063495431,,
LOG10Nmax7,474,rep1,6.431442509,,
LOG10N08,495,rep1,3.666921589,,
lag8,495,rep1,72.48169706,,
mumax8,495,rep1,0.033440375,,
LOG10Nmax8,495,rep1,6.569585285,,
LOG10N09,518,rep1,3.190296421,,
lag9,518,rep1,68.35015247,,
mumax9,518,rep1,0.086071161,,
LOG10Nmax9,518,rep1,6.956637123,,
LOG10N010,536,rep1,3.261369439,,
lag10,536,rep1,70.24925319,,
mumax10,536,rep1,0.087180782,,
LOG10Nmax10,536,rep1,6.816527716,,
LOG10N011,564,rep1,3.379669065,,
lag11,564,rep1,33.31088608,,
mumax11,564,rep1,0.106302397,,
LOG10Nmax11,564,rep1,6.659135985,,
LOG10N012,570,rep1,3.921547223,,
lag12,570,rep1,42.11945662,,
mumax12,570,rep1,0.105421246,,
LOG10Nmax12,570,rep1,6.498082277,,
LOG10N013,638,rep1,3.328706995,,
lag13,638,rep1,10.02224839,,
mumax13,638,rep1,0.032996302,,
LOG10Nmax13,638,rep1,6.347004736,,
LOG10N014,649,rep1,3.238557965,,
lag14,649,rep1,100.1456513,,
mumax14,649,rep1,0.078762436,,
LOG10Nmax14,649,rep1,6.140914846,,
LOG10N015,193,rep2,3.238069795,,
lag15,193,rep2,170.8848825,,
mumax15,193,rep2,0.05747046,,
LOG10Nmax15,193,rep2,5.878331191,,
LOG10N016,194,rep2,3.017932562,,
lag16,194,rep2,110.6961055,,
mumax16,194,rep2,0.107286034,,
LOG10Nmax16,194,rep2,6.669800952,,
LOG10N017,402,rep2,3.321825877,,
lag17,402,rep2,172.1997634,,
mumax17,402,rep2,0.050789459,,
LOG10Nmax17,402,rep2,5.007570353,,
LOG10N018,407,rep2,3.414764474,,
lag18,407,rep2,189.7615948,,
mumax18,407,rep2,0.063766407,,
LOG10Nmax18,407,rep2,5.408676395,,
LOG10N019,413,rep2,3.668314264,,
lag19,413,rep2,56.56296046,,
mumax19,413,rep2,0.125593307,,
LOG10Nmax19,413,rep2,6.51331751,,
LOG10N020,433,rep2,3.796639234,,
lag20,433,rep2,122.470033,,
mumax20,433,rep2,0.062192804,,
LOG10Nmax20,433,rep2,6.018715218,,
LOG10N021,457,rep2,3.072579377,,
lag21,457,rep2,101.3754628,,
mumax21,457,rep2,0.068275638,,
LOG10Nmax21,457,rep2,6.337982956,,
LOG10N022,474,rep2,3.658800606,,
lag22,474,rep2,194.0495558,,
mumax22,474,rep2,0.062904304,,
LOG10Nmax22,474,rep2,5.011676537,,
LOG10N023,495,rep2,3.053611557,,
lag23,495,rep2,90.44541851,,
mumax23,495,rep2,0.088565142,,
LOG10Nmax23,495,rep2,6.357197581,,
LOG10N024,518,rep2,3.109542741,,
lag24,518,rep2,76.83764685,,
mumax24,518,rep2,0.068027787,,
LOG10Nmax24,518,rep2,6.591446538,,
LOG10N025,536,rep2,3.221921365,,
lag25,536,rep2,86.1575508,,
mumax25,536,rep2,0.056404747,,
LOG10Nmax25,536,rep2,6.301540956,,
LOG10N026,564,rep2,3.655710229,,
lag26,564,rep2,62.17695755,,
mumax26,564,rep2,0.140913188,,
LOG10Nmax26,564,rep2,6.493195566,,
LOG10N027,570,rep2,3.612196578,,
lag27,570,rep2,65.76480685,,
mumax27,570,rep2,0.096932777,,
LOG10Nmax27,570,rep2,6.716601051,,
LOG10N028,638,rep2,3.610753482,,
lag28,638,rep2,106.2671397,,
mumax28,638,rep2,0.093429871,,
LOG10Nmax28,638,rep2,5.574036151,,
LOG10N029,649,rep2,3.521510405,,
lag29,649,rep2,85.60088524,,
mumax29,649,rep2,0.045242446,,
LOG10Nmax29,649,rep2,6.458306985,,
