"","isolate","rep","T","mumax_ln_h","lag_h","mumax_log10_day","lag_day","h0","Q0"
"1",125,"rep1",22,0.698534387145691,16.6982274202891,7.27955939708927,0.695759475845379,5.06482243050413,0.00635516523315958
"18",125,"rep2",22,2.02400439293492,14.020779444238,21.0925338386618,0.584199143509917,12.3222402030001,4.451649967207e-06
"2",135,"rep1",22,0.886051493725168,18.891327690732,9.23371074659315,0.7871386537805,7.26821064647187,0.000697845347801768
"19",135,"rep2",22,0.94943480584876,13.7044359940556,9.89424026937483,0.571018166418983,5.64979093672729,0.00353067403718076
"3",193,"rep1",22,0.421003985280483,4.98883817622862,4.38736241716526,0.207868257342859,0.911993379987697,0.671465554304536
"20",193,"rep2",22,0.828600729868314,10.3001356953766,8.635005435015,0.429172320640692,3.70590532129037,0.025197253337877
"35",193,"rep1",10,0.0578726566291631,174.260657343095,0.603101936213597,7.26086072262896,4.37903916039478,0.0126965813753524
"50",193,"rep2",10,0.0574704595026385,170.884882499118,0.598910563640175,7.12020343746325,4.26436505396383,0.0142613175655147
"4",194,"rep1",22,1.08083451937971,22.0363122279499,11.2635816175046,0.918179676164579,10.3419917220137,3.22510656625621e-05
"21",194,"rep2",22,0.893752579482514,19.469588365412,9.31396522257071,0.811232848558833,7.55579453888394,0.000523344122815368
"36",194,"rep1",10,0.0669667074597638,67.9811381233612,0.697872765538138,2.83254742180672,1.97675770277418,0.160789854092311
"51",194,"rep2",10,0.107286033980014,110.696105539999,1.11804811789854,4.61233773083329,5.15681551907058,0.00579338312585065
"5",402,"rep1",22,0.482906567355553,12.7657753466106,5.03246097113907,0.531907306108775,2.67680275825613,0.0738632317833134
"22",402,"rep2",22,0.45815543947395,7.87877208425243,4.77452477089657,0.328282170177185,1.56739135335465,0.263565332922825
"37",402,"rep1",10,0.342211230098659,180.539851494266,3.56624816429345,7.52249381226108,26.8270797488849,2.23432991109281e-12
"52",402,"rep2",10,0.0507894585374113,172.199763366178,0.529286584844929,7.17499014025742,3.79762602763289,0.022938309880973
"6",407,"rep1",22,0.48767077888874,11.9595157496251,5.08210972354744,0.498313156234379,2.53248213667035,0.0863207181748659
"23",407,"rep2",22,0.482599816883571,8.97486446024151,5.02926426626387,0.373952685843396,1.88070688018559,0.179916333925613
"38",407,"rep1",10,0.0360369002312767,41.9555968701444,0.375547375401928,1.74814986958935,0.656513095333504,1.07751927249819
"53",407,"rep2",10,0.0637664069843675,189.761594842795,0.664521827019027,7.90673311844979,5.25419673762411,0.00525299181777485
"7",413,"rep1",22,0.474096222418675,11.241056661791,4.94064669476691,0.468377360907958,2.31408706007355,0.109701042067726
"24",413,"rep2",22,0.388921563807075,4.99339154501855,4.0530254152713,0.20805798104244,0.843264285015042,0.755320888216431
"39",413,"rep1",10,0.1143,27.8282,1.19114198871038,1.15950833333333,1.38113906209292,0.335634458070651
"54",413,"rep2",10,0.125593306689217,56.5629604647329,1.30883168065185,2.35679001936387,3.08464144198752,0.0479394946231301
"40",433,"rep1",10,0.052916140432924,81.4539618039569,0.551449140421266,3.39391507516487,1.87157155086245,0.181867745620035
"55",433,"rep2",10,0.0621928038636322,122.470032997515,0.648123010302724,5.10291804156313,3.30731860242597,0.0380057711735044
"9",457,"rep1",22,0.483718453593415,9.4015245707127,5.04092179168127,0.391730190446363,1.97468125348052,0.16117794165224
