,LOG10N0,lag (h),mumax (ln h-1),LOG10Nmax,Isolate,Rep,Model,AIC,BIC
Iso193Rep1_buccoef,3.6558,3.3982,0.3651,7.0407,193,1,buc,-15.5194,-11.9791
Iso193Rep1_gomcoef,3.6347,4.9498,0.4296,7.6302,193,1,gom,-13.0102,-9.4699
Iso193Rep1_barcoef,3.6443,4.9888,0.421,7.1633,193,1,bar,-16.8219,-13.2817
Iso193Rep2_buccoef,3.8533,8.6735,0.614,6.9882,193,2,buc,-13.2014,-9.6612
Iso193Rep2_gomcoef,3.8531,11.1006,1.0188,7.0447,193,2,gom,-20.3855,-16.8452
Iso193Rep2_barcoef,3.8426,10.3001,0.8286,6.9884,193,2,bar,-16.0839,-12.5436
Iso194Rep1_buccoef,3.931,21.4528,0.8793,6.5894,194,1,buc,-4.0321,-0.4919
Iso194Rep1_gomcoef,3.926,21.8389,1.1009,6.6835,194,1,gom,-4.0545,-0.5143
Iso194Rep1_barcoef,3.9208,22.0364,1.0809,6.592,194,1,bar,-2.3621,1.1782
Iso194Rep2_buccoef,3.5157,18.8535,0.7906,6.6064,194,2,buc,7.5838,11.1241
Iso194Rep2_gomcoef,3.5028,18.9949,0.7988,7.5105,194,2,gom,7.6142,11.1545
Iso194Rep2_barcoef,3.5076,19.4696,0.8938,6.7413,194,2,bar,6.3793,9.9196
Iso125Rep1_buccoef,3.4498,14.8916,0.4404,5.1919,125,1,buc,-22.4543,-18.914
Iso125Rep1_gomcoef,3.4509,15.6398,0.5427,5.3102,125,1,gom,-16.2098,-12.6695
Iso125Rep1_barcoef,3.4398,16.6982,0.6985,5.2442,125,1,bar,-20.2674,-16.7272
Iso125Rep2_buccoef,3.4115,12.6539,0.8637,5.6419,125,2,buc,10.8516,14.3919
Iso125Rep2_gomcoef,3.4137,13.6859,1.6289,5.6109,125,2,gom,8.3577,11.898
Iso125Rep2_barcoef,3.4134,14.0208,2.0241,5.5792,125,2,bar,8.812,12.3522
Iso135Rep1_buccoef,3.7086,15.4244,0.3715,5.5761,135,1,buc,6.3739,9.9142
Iso135Rep1_gomcoef,3.7257,18.6172,0.8408,5.6904,135,1,gom,5.6695,9.2097
Iso135Rep1_barcoef,3.7086,18.8914,0.8861,5.6762,135,1,bar,4.4253,7.9655
Iso135Rep2_buccoef,3.6614,12.9074,0.7245,6.0093,135,2,buc,-11.2752,-8.0799
Iso135Rep2_gomcoef,3.6634,13.4759,0.9482,6.0676,135,2,gom,-7.9434,-4.7481
Iso135Rep2_barcoef,3.6583,13.7044,0.9494,6.0277,135,2,bar,-9.1991,-6.0038
Iso402Rep1_buccoef,3.9798,12.0526,0.4388,6.9476,402,1,buc,1.6883,5.5513
Iso402Rep1_gomcoef,3.9729,12.3417,0.4578,7.6144,402,1,gom,2.1667,6.0296
Iso402Rep1_barcoef,3.9645,12.7657,0.4829,7.0862,402,1,bar,0.6223,4.4852
Iso402Rep2_buccoef,3.8018,6.2838,0.3679,6.858,402,2,buc,-17.4619,-13.599
Iso402Rep2_gomcoef,3.7909,8.3067,0.486,7.0466,402,2,gom,-34.8296,-30.9667
Iso402Rep2_barcoef,3.7535,7.8788,0.4582,6.8545,402,2,bar,-24.533,-20.67
Iso407Rep1_buccoef,3.9439,11.4363,0.4523,6.6989,407,1,buc,-3.8141,-0.2738
Iso407Rep1_gomcoef,3.9304,11.1992,0.4402,7.4513,407,1,gom,-1.4163,2.1239
Iso407Rep1_barcoef,3.9274,11.9595,0.4877,6.8647,407,1,bar,-4.2489,-0.7087
Iso407Rep2_buccoef,3.7027,7.5461,0.4038,6.8177,407,2,buc,-31.6018,-28.0616
Iso407Rep2_gomcoef,3.6968,9.0983,0.4943,7.2093,407,2,gom,-23.5326,-19.9923
Iso407Rep2_barcoef,3.6722,8.9749,0.4826,6.8925,407,2,bar,-31.8822,-28.342
Iso413Rep1_buccoef,4.0826,10.6059,0.4189,6.9094,413,1,buc,-1.1792,2.361
Iso413Rep1_gomcoef,4.0706,11.1184,0.4689,7.3306,413,1,gom,-2.4006,1.1397
Iso413Rep1_barcoef,3.9828,8.4457,0.3447,18.6965,413,1,bar,2.879,6.4192
Iso413Rep2_buccoef,3.4603,5.0719,0.3745,7.1533,413,2,buc,11.2019,14.7422
Iso413Rep2_gomcoef,3.0029,2.636,0.3779,10.2123,413,2,gom,6.4782,10.0184
Iso413Rep2_barcoef,3.3621,4.992,0.3889,7.5313,413,2,bar,7.6789,11.2191
Iso433Rep1_buc_nolag_coef,3.540193,0,0.307998256,7.166331422,433,1,buc,-7.297302863,-4.465102059
Iso433Rep1_bar_nolag_coef,3.536262,0,0.310492849,7.612884738,433,1,bar,-4.858061446,-2.025860642
Iso433Rep2_buc_nolag_coef,3.408333,0,0.326254384,7.077025498,433,2,buc,7.97734189,11.5175929
Iso433Rep2_bar_nolag_coef,3.410225,0,0.327383405,7.430793636,433,2,bar,7.194259832,10.02646064
Iso457Rep1_buccoef,4.2375,16.0944,0.6332,6.2776,457,1,buc,16.0478,18.8726
Iso457Rep1_gomcoef,3.8627,85.653,52.0654,3807.4068,457,1,gom,-1.9959,0.8289
Iso457Rep1_barcoef,4.0086,12.5719,0.431,18.9504,457,1,bar,4.0815,6.9063
Iso457Rep2_buccoef,3.4615,11.1376,0.6046,6.227,457,2,buc,12.6199,15.4446
Iso457Rep2_gomcoef,2.9117,20.3463,1.0173,44.2063,457,2,gom,8.5259,11.3506
Iso457Rep2_barcoef,3.3321,8.0636,0.4381,14.6279,457,2,bar,11.2711,14.0958
Iso457Rep3_buccoef,3.221254639,3.835366007,0.320913626,6.111371238,457,3,buc,8.544183305,12.08443431
Iso457Rep3_gomcoef,3.351906053,7.916147019,0.415017919,6.742162365,457,3,gom,9.628930216,13.16918122
Iso457Rep3_barcoef,3.369586281,9.401163198,0.483707134,6.284902634,457,3,bar,5.982287752,9.522538757
Iso457Rep4_buccoef,3.086235755,1.951057632,0.303794533,6.139319649,457,4,buc,6.5211535,10.06140451
