,lag_wt,mumax_wt,LOG10Nmax_wt,Isolate,Rep,,lag_best,mumax_best,LOG10Nmax_best,Isolate,Rep,Model
1,4.4888,0.4043,7.1666,193,1,,4.9888,0.421,7.1633,193,1,Bar
2,21.716,1.0067,6.6288,194,1,,22.0364,1.0809,6.592,194,1,Bar
3,15.3544,0.5064,5.2084,125,1,,16.6982,0.6985,5.2442,125,1,Bar
4,18.1309,0.7719,5.6604,135,1,,18.8914,0.8861,5.6762,135,1,Bar
5,12.4658,0.4646,7.1656,402,1,,12.7657,0.4829,7.0862,402,1,Bar
6,11.6638,0.4682,6.8691,407,1,,11.9595,0.4877,6.8647,407,1,Bar
7,10.8279,0.4466,7.6915,413,1,,11.1184,0.4689,7.3306,413,1,Gom
8,0,0.3086,7.2681,433,1,,0,0.308,7.1663,433,1,Buc
9,8.1602,0.4446,6.3027,457,3,,9.401,0.4837,6.2849,457,3,Bar
10,10.9203,1.1456,7.0042,474,1,,12.1314,1.3496,6.9905,474,1,Gom
11,14.7294,0.5903,7.0308,495,1,,14.8586,0.599,7.4156,495,1,Bar
12,10.7932,0.4618,6.8348,518,1,,10.4775,0.4423,6.7961,518,1,Bar
13,20.6423,1.4263,6.9165,536,2,,20.6183,1.4039,6.9291,536,2,Gom
14,13.8039,1.069,6.9292,564,1,,13.8018,1.0796,6.9379,564,1,Gom
15,11.7376,0.5237,7.3268,570,1,,11.9993,0.5419,7.2147,570,1,Bar
16,6.4923,0.5456,7.2233,638,1,,6.5079,0.547,7.2297,638,1,Gom
17,6.4811,0.3782,7.6682,649,1,,6.3109,0.3751,8.0276,649,1,Gom
18,10.9607,0.9897,7.0376,193,2,,10.3001,0.8286,6.9884,193,2,Bar
19,19.1853,0.8422,6.9047,194,2,,19.4696,0.8938,6.7413,194,2,Bar
20,13.6716,1.6745,5.6031,125,2,,14.0208,2.0241,5.5792,125,2,Bar
21,13.1599,0.8035,6.0207,135,2,,13.7044,0.9494,6.0277,135,2,Bar
22,8.3039,0.4858,7.0455,402,2,,7.8788,0.4582,6.8545,402,2,Bar
23,8.3169,0.4464,6.8606,407,2,,8.9749,0.4826,6.8925,407,2,Bar
24,3.5625,0.3814,9.1415,413,2,,2.636,0.3779,10.2123,413,2,Gom
25,0,0.3267,7.2015,433,2,,0,0.3263,7.077,433,2,Buc
26,4.9213,0.3624,6.3981,457,4,,6.7135,0.4001,6.3514,457,4,Bar
27,3.0293,0.3923,7.2407,474,2,,2.4918,0.3883,7.6004,474,2,Gom
28,7.054,0.5699,7.1103,495,2,,7.2403,0.5796,7.0516,495,2,Bar
29,18.8939,1.3928,6.6748,518,2,,18.9659,1.4126,6.6712,518,2,Bar
30,5.0429,0.3542,6.4582,536,3,,4.9447,0.3532,7.3564,536,3,Gom
31,12.6832,0.6822,6.7178,564,2,,13.2214,0.8087,6.9083,564,2,Gom
32,5.034,0.3797,7.3025,570,2,,5.0996,0.3801,7.1879,570,2,Bar
33,13.4891,0.6629,7.2441,638,2,,13.591,0.6919,7.4582,638,2,Gom
34,11.0616,0.6168,6.9426,649,2,,11.2772,0.6442,7.113,649,2,Gom
